Date,Open,High,Low,Close,Volume,Adj Close
2016-11-04,138.00,139.00,134.00,134.90,488900,134.90
2016-11-03,137.50,140.05,137.20,137.75,490500,137.75
2016-11-02,140.00,140.45,136.90,137.30,484000,137.30
2016-11-01,140.00,143.45,138.70,141.55,611700,141.55
2016-10-31,138.85,138.85,138.85,138.85,000,138.85
2016-10-28,138.00,139.90,138.00,138.85,406300,138.85
2016-10-27,139.95,139.95,136.25,138.25,505300,138.25
2016-10-26,140.00,142.00,138.85,139.55,400000,139.55
2016-10-25,141.70,142.45,138.85,140.35,386400,140.35
2016-10-24,142.00,142.50,141.00,141.25,244400,141.25
2016-10-21,142.90,142.90,140.40,141.70,448500,141.70
2016-10-20,142.00,142.85,140.85,142.10,714100,142.10
2016-10-19,139.00,143.45,139.00,141.25,1833600,141.25
2016-10-18,132.40,136.95,132.40,136.15,1057000,136.15
2016-10-17,133.10,133.90,130.05,131.75,625200,131.75
2016-10-14,134.00,134.00,132.60,133.20,550200,133.20
2016-10-13,135.00,135.00,131.35,132.35,691100,132.35
2016-10-12,135.15,135.15,135.15,135.15,000,135.15
2016-10-11,135.15,135.15,135.15,135.15,000,135.15
2016-10-10,135.95,136.55,134.55,135.15,554900,135.15
2016-10-07,136.50,136.65,134.70,135.55,751800,135.55
2016-10-06,137.10,139.90,136.00,136.25,892700,136.25
2016-10-05,139.00,139.00,135.80,137.05,764200,137.05
2016-10-04,139.30,139.30,136.75,137.90,1235200,137.90
2016-10-03,136.00,137.90,135.30,137.20,921400,137.20
2016-09-30,133.50,135.50,132.00,134.65,1002900,134.65
2016-09-29,144.55,145.45,129.40,133.10,2129200,133.10
2016-09-28,141.70,144.80,140.95,143.75,601200,143.75
2016-09-27,144.05,144.05,140.60,141.10,589400,141.10
2016-09-26,146.40,146.90,142.50,142.85,1093800,142.85
2016-09-23,148.10,150.70,145.75,146.20,1335600,146.20
2016-09-22,145.90,147.70,145.60,147.10,555000,147.10
2016-09-21,146.00,147.50,143.55,144.30,932300,144.30
2016-09-20,147.50,148.80,145.30,145.75,1333100,145.75
2016-09-19,148.80,149.35,146.55,147.25,790000,147.25
2016-09-16,153.00,153.45,145.70,146.70,1443500,146.70
2016-09-15,146.90,151.40,145.60,150.30,1882100,150.30
2016-09-14,148.00,149.40,145.05,146.40,1151600,146.40
2016-09-13,147.50,147.50,147.50,147.50,000,147.10
2016-09-12,150.90,153.70,146.30,147.50,1415600,147.10
2016-09-09,156.70,156.90,153.05,154.00,1501300,153.183
2016-09-08,159.00,162.80,153.55,156.85,4878600,156.018
2016-09-07,138.00,161.40,134.35,159.80,8436100,158.953
2016-09-06,136.60,138.90,136.60,138.35,548700,137.616
2016-09-05,136.60,136.60,136.60,136.60,000,135.876
2016-09-02,134.90,137.20,134.00,136.60,619400,135.876
2016-09-01,138.85,139.95,134.80,135.60,520200,134.881
2016-08-31,139.55,141.55,137.85,139.05,558000,138.313
2016-08-30,140.00,142.25,139.35,140.65,549500,139.904
2016-08-29,139.00,141.20,137.65,140.70,521600,139.954
2016-08-26,140.45,142.40,138.10,139.50,698800,138.76
2016-08-25,137.00,142.00,136.30,140.85,1125500,140.103
2016-08-24,136.70,138.20,135.55,136.75,660900,136.025
2016-08-23,143.30,143.30,136.00,136.95,1167900,136.224
2016-08-22,141.50,146.05,141.50,143.55,969200,142.789
2016-08-19,140.90,142.90,140.20,141.90,555300,141.148
2016-08-18,138.60,141.20,138.00,140.15,483300,139.407
2016-08-17,137.05,138.70,136.65,137.85,455300,137.119
2016-08-16,139.50,139.50,135.65,137.35,615700,136.622
2016-08-15,138.30,138.30,138.30,138.30,000,137.567
2016-08-12,137.90,139.45,137.25,138.30,595100,137.567
2016-08-11,138.00,139.10,134.40,136.50,675200,135.776
2016-08-10,139.00,141.05,134.70,136.25,962900,135.528
2016-08-09,140.00,142.10,138.65,139.65,790800,138.91
2016-08-08,138.30,141.70,136.20,140.10,1199300,139.357
2016-08-05,135.00,138.65,134.95,137.75,587200,137.02
2016-08-04,135.00,135.50,132.15,133.90,1175900,133.19
2016-08-03,138.00,138.70,132.50,133.20,1022700,132.494
2016-08-02,142.00,143.90,138.25,138.75,558300,138.014
2016-08-01,146.00,149.00,141.05,141.80,950300,141.048
2016-07-29,149.40,149.40,145.10,145.80,832500,145.027
2016-07-28,149.85,151.15,147.25,149.30,886700,148.508
2016-07-27,147.00,151.25,146.45,148.50,769500,147.713
2016-07-26,149.00,149.00,146.20,147.20,866600,146.42
2016-07-25,141.00,148.30,140.60,147.10,901500,146.32
2016-07-22,140.30,142.20,139.70,141.05,677600,140.302
2016-07-21,144.05,144.50,138.40,139.85,563500,139.108
2016-07-20,140.00,144.80,139.65,144.25,973700,143.485
2016-07-19,140.00,140.50,137.25,139.50,692700,138.76
2016-07-18,142.80,144.80,138.75,139.75,756900,139.009
2016-07-15,144.50,145.50,142.20,142.80,410500,142.043
2016-07-14,141.95,145.00,140.25,144.50,718400,143.734
2016-07-13,139.00,146.85,139.00,141.55,1660900,140.799
2016-07-12,139.95,140.00,136.55,138.30,519400,137.567
2016-07-11,140.25,141.85,138.55,139.25,461800,138.512
2016-07-08,140.00,141.60,135.85,137.85,723300,137.119
2016-07-07,139.20,142.00,139.00,140.05,971400,139.307
2016-07-06,139.40,139.40,139.40,139.40,000,138.661
2016-07-05,138.10,141.35,136.90,139.40,1708600,138.661
2016-07-04,133.05,138.70,133.05,138.05,1782900,137.318
2016-07-01,129.00,132.85,128.75,131.90,1454900,131.201
2016-06-30,123.20,128.45,123.20,127.65,1972000,126.973
2016-06-29,120.00,122.70,119.75,121.95,722700,121.303
2016-06-28,119.95,120.55,118.70,119.20,458100,118.568
2016-06-27,119.00,120.50,118.50,119.05,512200,118.419
2016-06-24,119.50,119.50,113.90,118.25,1073800,117.623
2016-06-23,122.90,123.40,119.90,122.55,674800,121.90
2016-06-22,122.60,123.15,121.55,122.60,409300,121.95
2016-06-21,124.40,124.40,121.55,121.85,542200,121.204
2016-06-20,120.10,124.75,120.10,123.95,591200,123.293
2016-06-17,122.15,123.85,121.50,122.30,674600,121.652
2016-06-16,123.00,123.00,119.90,121.30,510600,120.657
2016-06-15,121.45,123.10,121.40,122.55,464400,121.90
2016-06-14,121.40,122.00,120.00,121.40,489300,120.756
2016-06-13,121.50,121.95,119.45,120.35,649900,119.712
2016-06-10,122.00,126.30,122.00,123.65,1560400,122.994
2016-06-09,121.50,122.90,120.30,121.20,635500,120.557
2016-06-08,119.25,122.50,118.75,121.40,888700,120.756
