Date,Open,High,Low,Close,Volume,Adj Close
2016-10-21,594.75,596.50,570.29999,582.75,168800,582.75
2016-10-20,598.00,600.09998,593.75,595.04999,86500,595.04999
2016-10-19,592.00,597.90002,592.00,594.90002,109900,594.90002
2016-10-18,589.45001,592.20001,583.00,591.20001,135400,591.20001
2016-10-17,589.90002,591.54999,583.45001,584.45001,170400,584.45001
2016-10-14,585.00,589.79999,584.50,586.54999,92900,586.54999
2016-10-13,593.50,598.90002,580.00,581.84998,351300,581.84998
2016-10-12,580.54999,580.54999,580.54999,580.54999,000,580.54999
2016-10-11,580.54999,580.54999,580.54999,580.54999,000,580.54999
2016-10-10,572.50,583.65002,572.50,580.54999,125200,580.54999
2016-10-07,581.25,582.75,566.09998,569.70001,374000,569.70001
2016-10-06,592.79999,596.65002,577.09998,579.15002,140800,579.15002
2016-10-05,598.00,600.70001,591.04999,592.79999,254200,592.79999
2016-10-04,594.84998,604.00,591.15002,595.34998,203200,595.34998
2016-10-03,582.45001,591.59998,582.45001,588.65002,146200,588.65002
2016-09-30,601.00,605.00,562.04999,580.25,851200,580.25
2016-09-29,609.00,610.54999,585.95001,600.90002,145800,600.90002
2016-09-28,608.90002,612.45001,603.00,605.29999,58500,605.29999
2016-09-27,603.00,610.29999,602.84998,607.45001,66100,607.45001
2016-09-26,607.00,614.34998,602.00,604.20001,270700,604.20001
2016-09-23,609.00,617.70001,605.00,611.15002,78500,611.15002
2016-09-22,605.00,610.40002,604.00,608.95001,208500,608.95001
2016-09-21,605.00,605.20001,597.09998,600.20001,138400,600.20001
2016-09-20,598.04999,607.50,596.00,601.90002,136000,601.90002
2016-09-19,593.00,600.00,593.00,597.70001,141400,597.70001
2016-09-16,585.04999,595.00,585.00,592.34998,192100,592.34998
2016-09-15,577.54999,590.59998,576.90002,584.45001,178500,584.45001
2016-09-14,578.25,583.25,568.25,576.65002,141100,576.65002
2016-09-13,568.90002,568.90002,568.90002,568.90002,000,568.90002
2016-09-12,576.90002,578.59998,565.00,568.90002,180000,568.90002
2016-09-09,595.00,595.70001,579.00,581.50,279100,579.50001
2016-09-08,581.00,597.00,580.00,592.25,542100,590.21304
2016-09-07,579.00,585.00,575.45001,582.50,115800,580.49657
2016-09-06,581.15002,586.34998,576.04999,578.15002,177500,576.16155
2016-09-05,577.79999,577.79999,577.79999,577.79999,000,575.81272
2016-09-02,581.00,581.15002,572.00,577.79999,161000,575.81272
2016-09-01,573.00,580.00,571.00,577.54999,95000,575.56358
2016-08-31,580.04999,586.50,569.95001,572.59998,213300,570.63059
2016-08-30,571.00,581.00,567.95001,576.59998,151600,574.61684
2016-08-29,568.00,569.95001,563.00,567.20001,59400,565.2492
2016-08-26,567.00,571.75,562.84998,567.45001,265700,565.49834
2016-08-25,569.29999,574.79999,560.00,563.04999,128900,561.11345
2016-08-24,558.90002,570.50,554.09998,565.90002,399900,563.95369
2016-08-23,556.00,557.40002,552.00,554.95001,45800,553.04134
2016-08-22,556.00,565.20001,552.59998,557.45001,154900,555.53274
2016-08-19,554.00,560.00,552.50,555.54999,99800,553.63925
2016-08-18,551.00,557.00,547.59998,551.59998,157700,549.70282
2016-08-17,548.25,563.40002,546.00,549.95001,901800,548.05853
2016-08-16,510.00,557.40002,509.00,553.54999,946300,551.64613
2016-08-15,516.65002,516.65002,516.65002,516.65002,000,514.87308
2016-08-12,524.00,526.34998,512.09998,516.65002,279100,514.87308
2016-08-11,521.95001,526.04999,518.09998,523.25,100700,521.45035
2016-08-10,533.59998,534.00,519.29999,522.09998,113400,520.30428
2016-08-09,537.95001,540.50,530.00,532.65002,134500,530.81805
2016-08-08,537.95001,541.09998,532.09998,535.00,110500,533.15994
2016-08-05,532.00,533.40002,527.15002,532.09998,81200,530.26989
2016-08-04,533.90002,535.00,522.09998,526.20001,107500,524.39022
2016-08-03,519.00,535.00,515.70001,529.40002,187100,527.57922
2016-08-02,529.00,529.45001,516.90002,518.59998,101700,516.81632
2016-08-01,528.15002,535.40002,520.79999,525.09998,142900,523.29396
2016-07-29,525.50,536.45001,520.75,528.15002,244200,526.33352
2016-07-28,524.00,527.90002,519.00,520.50,94400,518.70981
2016-07-27,523.00,528.79999,517.75,523.50,145900,521.69949
2016-07-26,526.00,529.90002,521.50,523.04999,223000,521.25103
2016-07-25,515.00,527.00,513.40002,524.59998,402900,522.79568
2016-07-22,519.45001,522.29999,512.84998,519.70001,121700,517.91257
2016-07-21,522.00,526.95001,513.20001,515.40002,237200,513.62737
2016-07-20,507.89999,519.15002,506.00,517.79999,230200,516.01908
2016-07-19,509.00,510.64999,501.10001,505.70001,111100,503.96072
2016-07-18,516.15002,517.45001,506.29999,508.10001,87500,506.35246
2016-07-15,515.00,518.70001,511.00,516.15002,100000,514.3748
2016-07-14,518.00,518.00,507.39999,510.89999,134000,509.14282
2016-07-13,516.00,519.00,511.35001,515.25,160300,513.47787
2016-07-12,522.54999,522.54999,515.00,516.20001,267900,514.42461
2016-07-11,525.00,527.75,519.75,521.34998,134200,519.55686
2016-07-08,518.00,522.00,513.15002,519.75,140100,517.96239
2016-07-07,507.00,516.15002,504.39999,513.25,185900,511.48474
2016-07-06,506.54999,506.54999,506.54999,506.54999,000,504.80778
2016-07-05,511.00,511.00,502.89999,506.54999,62300,504.80778
2016-07-04,510.50,513.20001,507.89999,509.25,100400,507.4985
2016-07-01,502.89999,509.79999,499.79999,507.89999,113300,506.15314
2016-06-30,505.14999,506.79999,499.70001,501.45001,173300,499.72534
2016-06-29,499.00,504.89999,496.50,501.29999,126200,499.57583
2016-06-28,491.00,498.79999,486.79999,496.85001,256700,495.14116
2016-06-27,479.89999,491.39999,474.00,489.00,193400,487.31815
2016-06-24,470.00,477.89999,460.00,476.50,524200,474.86114
2016-06-23,483.64999,483.64999,474.95001,476.10001,543500,474.46252
2016-06-22,483.04999,486.70001,480.29999,483.50,365900,481.83707
2016-06-21,488.54999,489.70001,480.75,482.85001,88200,481.18931
2016-06-20,486.00,490.29999,484.25,486.64999,129000,484.97623
2016-06-17,487.00,490.25,483.70001,485.54999,102300,483.88
2016-06-16,488.14999,489.50,479.10001,485.10001,146900,483.43157
2016-06-15,485.04999,492.00,483.64999,489.35001,239100,487.66695
2016-06-14,469.20001,483.00,469.20001,482.20001,163200,480.54155
2016-06-13,476.00,479.79999,465.20001,469.20001,184100,467.58626
2016-06-10,475.79999,486.50,475.00,476.25,239800,474.612
2016-06-09,474.00,482.50,469.50,479.89999,231000,478.24944
2016-06-08,471.89999,474.60001,468.60001,472.75,150100,471.12404
2016-06-07,467.89999,472.00,467.10001,468.75,109600,467.1378
2016-06-06,469.50,471.79999,465.79999,467.64999,176700,466.04157
2016-06-03,472.00,473.79999,462.50,465.10001,168900,463.50036
2016-06-02,464.50,470.45001,459.50,469.25,204000,467.63608
2016-06-01,476.70001,476.70001,464.00,465.35001,266600,463.7495
2016-05-31,478.00,478.85001,471.04999,472.39999,170100,470.77524
2016-05-30,475.04999,478.45001,470.10001,473.64999,192700,472.02094
2016-05-27,471.95001,478.35001,469.54999,473.64999,297800,472.02094
2016-05-26,472.00,473.10001,466.10001,467.60001,351500,465.99176
2016-05-25,479.00,480.10001,458.25,470.29999,1228500,468.68245
2016-05-24,500.85001,504.95001,492.35001,494.89999,241000,493.19785
2016-05-23,510.00,510.00,495.04999,497.39999,201400,495.68925
2016-05-20,514.95001,515.54999,501.70001,507.25,163100,505.50538
2016-05-19,527.50,527.50,510.95001,512.59998,100700,510.83696
2016-05-18,524.00,526.45001,520.50,524.29999,68100,522.49673
2016-05-17,523.50,528.90002,523.00,524.65002,64700,522.84556
2016-05-16,533.70001,533.70001,522.00,523.45001,80700,521.64968
2016-05-13,534.50,538.54999,529.29999,531.25,63700,529.42284
2016-05-12,536.00,542.65002,534.50,534.70001,249400,532.86098
2016-05-11,533.90002,539.40002,530.79999,535.84998,48900,534.00699
2016-05-10,536.90002,539.70001,532.79999,536.90002,54300,535.05343
2016-05-09,541.45001,541.45001,533.40002,536.59998,62200,534.75441
2016-05-06,543.00,543.00,535.09998,536.75,48600,534.90392
2016-05-05,533.15002,543.84998,533.15002,541.20001,89500,539.33863
2016-05-04,535.00,541.00,530.00,533.34998,75300,531.51559
2016-05-03,537.00,547.00,527.00,536.29999,139700,534.45546
2016-05-02,538.00,544.45001,535.20001,538.29999,293700,536.44858
2016-04-29,533.90002,538.00,528.04999,537.00,83200,535.15306
2016-04-28,538.00,544.75,525.95001,527.04999,332600,525.23727
2016-04-27,539.75,544.50,534.84998,538.50,135900,536.6479
2016-04-26,525.50,542.04999,524.20001,540.34998,133000,538.49151
2016-04-25,531.79999,534.00,523.79999,525.90002,75000,524.09126
2016-04-22,530.00,536.50,527.20001,531.50,135700,529.67198
2016-04-21,532.29999,533.79999,526.84998,531.95001,414400,530.12044
2016-04-20,526.50,530.50,520.29999,527.25,216000,525.43659
2016-04-19,524.15002,524.15002,524.15002,524.15002,000,522.34728
2016-04-18,514.00,525.45001,507.29999,524.15002,187300,522.34728
2016-04-15,511.75,511.75,511.75,511.75,000,509.9899
2016-04-14,511.75,511.75,511.75,511.75,000,509.9899
2016-04-13,507.00,514.75,504.00,511.75,198100,509.9899
2016-04-12,503.00,509.00,501.00,503.00,135800,501.27
2016-04-11,505.00,506.25,497.75,502.60001,165400,500.87138
