Date,Open,High,Low,Close,Volume,Adj Close
2016-10-20,439.70,443.00,433.30,438.20,160900,438.20
2016-10-19,430.25,444.70,430.00,435.80,388600,435.80
2016-10-18,431.80,434.95,426.65,429.45,160700,429.45
2016-10-17,435.50,438.00,424.50,427.60,221200,427.60
2016-10-14,413.00,433.00,413.00,430.35,894300,430.35
2016-10-13,416.85,424.80,410.50,413.60,179500,413.60
2016-10-12,418.60,418.60,418.60,418.60,000,418.60
2016-10-11,418.60,418.60,418.60,418.60,000,418.60
2016-10-10,416.00,424.00,413.35,418.60,115800,418.60
2016-10-07,416.50,419.00,412.55,414.20,177400,414.20
2016-10-06,401.95,419.45,400.40,414.60,381200,414.60
2016-10-05,408.00,408.00,399.30,400.65,114500,400.65
2016-10-04,385.00,411.20,384.75,402.25,1009600,402.25
2016-10-03,379.00,386.50,371.35,384.75,152300,384.75
2016-09-30,363.00,375.90,363.00,374.05,84700,374.05
2016-09-29,376.50,383.90,359.00,362.95,198000,362.95
2016-09-28,375.20,378.75,372.20,374.90,828800,374.90
2016-09-27,376.15,378.45,372.15,373.20,70000,373.20
2016-09-26,384.50,386.00,376.00,377.30,107500,377.30
2016-09-23,387.80,393.20,385.10,386.50,92200,386.50
2016-09-22,389.00,398.80,388.55,389.75,113400,389.75
2016-09-21,389.00,392.30,383.05,386.90,142500,386.90
2016-09-20,388.35,391.10,384.80,385.40,96100,385.40
2016-09-19,389.10,393.00,388.00,388.60,45300,388.60
2016-09-16,388.00,395.25,387.40,388.30,392700,388.30
2016-09-15,387.50,393.50,384.00,385.15,101400,385.15
2016-09-14,390.00,390.00,385.00,387.25,69900,387.25
2016-09-13,385.45,385.45,385.45,385.45,000,385.45
2016-09-12,390.90,390.90,383.55,385.45,118700,385.45
2016-09-09,388.00,399.00,388.00,394.90,715400,394.90
2016-09-08,406.90,407.00,387.80,388.90,468700,388.90
2016-09-07,404.15,407.80,386.20,396.50,331400,393.50
2016-09-06,395.25,405.40,394.25,402.40,587200,399.3553
2016-09-05,394.35,394.35,394.35,394.35,000,391.3663
2016-09-02,393.05,395.80,388.65,394.35,109900,391.3663
2016-09-01,384.00,394.85,383.05,392.00,207000,389.034
2016-08-31,387.40,389.85,381.10,384.10,111400,381.1938
2016-08-30,380.00,389.20,380.00,385.90,211300,382.9802
2016-08-29,379.45,382.50,375.95,377.85,111500,374.9911
2016-08-26,374.50,384.40,372.30,379.20,265400,376.3309
2016-08-25,367.00,374.90,364.80,373.20,148500,370.3763
2016-08-24,367.00,368.50,364.30,365.75,49000,362.9827
2016-08-23,364.50,370.35,363.70,367.05,141600,364.2728
2016-08-22,365.00,367.95,363.15,364.05,60000,361.2955
2016-08-19,367.65,367.65,362.35,363.70,73000,360.9482
2016-08-18,367.80,369.25,364.60,365.60,59800,362.8338
2016-08-17,374.80,374.80,367.95,369.60,57700,366.8035
2016-08-16,377.85,377.85,368.25,372.20,53300,369.3839
2016-08-15,373.15,373.15,373.15,373.15,000,370.3267
2016-08-12,370.10,377.85,370.10,373.15,43000,370.3267
2016-08-11,373.50,374.60,369.00,371.15,46800,368.3418
2016-08-10,378.10,378.50,373.50,375.15,68100,372.3115
2016-08-09,382.95,382.95,377.90,379.05,54800,376.182
2016-08-08,382.70,386.60,380.00,381.90,68200,379.0105
2016-08-05,373.90,384.00,373.90,382.55,76400,379.6555
2016-08-04,374.00,378.55,372.25,373.70,113500,370.8725
2016-08-03,377.00,377.90,370.50,372.00,98000,369.1854
2016-08-02,380.00,381.85,374.30,376.00,85600,373.1551
2016-08-01,382.20,386.40,378.40,380.00,153700,377.1248
2016-07-29,383.75,387.25,380.55,382.20,91500,379.3082
2016-07-28,384.80,388.15,381.95,383.75,80200,380.8465
2016-07-27,388.10,393.00,382.60,384.80,81300,381.8885
2016-07-26,396.20,397.50,384.60,385.45,124800,382.5336
2016-07-25,395.00,398.35,390.00,390.95,86900,387.992
2016-07-22,391.00,402.85,390.25,395.05,240400,392.061
2016-07-21,395.25,401.00,389.25,391.05,66800,388.0912
2016-07-20,390.50,395.80,387.55,394.85,79900,391.8625
2016-07-19,386.55,391.30,380.50,385.30,71000,382.3847
2016-07-18,394.95,398.95,385.10,386.55,64000,383.6253
2016-07-15,396.00,400.00,390.45,392.05,139000,389.0837
2016-07-14,395.05,398.75,394.00,395.80,264900,392.8053
2016-07-13,383.00,392.50,376.20,390.15,295500,387.198
2016-07-12,378.00,382.50,376.65,378.45,53400,375.5866
2016-07-11,385.00,385.00,377.90,378.60,618900,375.7354
2016-07-08,384.65,384.80,374.60,375.45,95800,372.6093
2016-07-07,385.00,391.30,383.50,384.55,88700,381.6404
2016-07-06,386.90,386.90,386.90,386.90,000,383.9726
2016-07-05,396.60,396.60,385.60,386.90,100900,383.9726
2016-07-04,396.00,403.00,393.30,396.60,182100,393.5992
2016-07-01,388.60,397.00,385.85,395.25,306800,392.2595
