Date,Open,High,Low,Close,Volume,Adj Close
2016-11-04,1250.00,1251.00,1242.00,1243.70,314800,1243.70
2016-11-03,1245.00,1259.90,1232.20,1256.60,74200,1256.60
2016-11-02,1255.00,1255.00,1242.50,1246.05,122800,1246.05
2016-11-01,1253.70,1263.00,1250.00,1259.80,84300,1259.80
2016-10-31,1260.00,1260.00,1260.00,1260.00,000,1260.00
2016-10-28,1251.00,1260.85,1241.65,1260.00,129000,1260.00
2016-10-27,1241.00,1254.45,1225.00,1248.70,81700,1248.70
2016-10-26,1251.00,1254.20,1235.25,1240.40,94200,1240.40
2016-10-25,1265.50,1265.50,1244.75,1250.40,128100,1250.40
2016-10-24,1274.95,1275.95,1263.00,1265.40,46700,1265.40
2016-10-21,1256.00,1272.35,1250.20,1270.35,42000,1270.35
2016-10-20,1260.00,1267.00,1251.50,1255.35,43300,1255.35
2016-10-19,1266.00,1266.00,1248.00,1258.55,238300,1258.55
2016-10-18,1241.00,1260.00,1240.15,1257.40,54100,1257.40
2016-10-17,1270.00,1270.00,1233.00,1237.80,53700,1237.80
2016-10-14,1268.90,1268.90,1240.00,1261.45,63100,1261.45
2016-10-13,1284.30,1284.30,1257.00,1263.90,73500,1263.90
2016-10-12,1284.40,1284.40,1284.40,1284.40,000,1284.40
2016-10-11,1284.40,1284.40,1284.40,1284.40,000,1284.40
2016-10-10,1281.50,1287.65,1279.00,1284.40,22800,1284.40
2016-10-07,1282.75,1287.00,1276.00,1281.10,45700,1281.10
2016-10-06,1288.00,1295.00,1279.80,1282.75,46400,1282.75
2016-10-05,1299.90,1299.90,1277.00,1284.40,98700,1284.40
2016-10-04,1299.00,1299.00,1282.55,1289.55,51000,1289.55
2016-10-03,1275.55,1290.00,1275.55,1286.85,70300,1286.85
2016-09-30,1277.10,1281.95,1267.25,1271.70,51100,1271.70
2016-09-29,1298.50,1306.00,1272.35,1277.05,128400,1277.05
2016-09-28,1300.05,1301.00,1289.05,1295.00,138500,1295.00
2016-09-27,1309.80,1309.80,1294.20,1297.70,188700,1297.70
2016-09-26,1314.00,1314.00,1293.25,1296.85,27800,1296.85
2016-09-23,1307.65,1318.20,1303.00,1313.15,119600,1313.15
2016-09-22,1308.00,1315.55,1300.30,1307.65,96900,1307.65
2016-09-21,1292.05,1298.35,1288.00,1292.80,32300,1292.80
2016-09-20,1299.00,1299.00,1284.25,1287.60,129500,1287.60
2016-09-19,1298.05,1302.00,1288.05,1290.00,68600,1290.00
2016-09-16,1290.00,1305.00,1286.00,1298.05,93300,1298.05
2016-09-15,1269.75,1285.40,1269.75,1279.55,50800,1279.55
2016-09-14,1280.00,1280.00,1265.50,1269.75,509300,1269.75
2016-09-13,1279.95,1279.95,1279.95,1279.95,000,1279.95
2016-09-12,1279.95,1285.70,1272.70,1279.95,57900,1279.95
2016-09-09,1290.00,1293.80,1279.05,1290.55,111500,1290.55
2016-09-08,1299.95,1299.95,1283.50,1289.45,78500,1289.45
2016-09-07,1301.05,1305.00,1283.10,1287.75,35900,1287.75
2016-09-06,1285.00,1305.00,1285.00,1299.05,82200,1299.05
2016-09-05,1284.45,1284.45,1284.45,1284.45,000,1284.45
2016-09-02,1284.05,1288.50,1281.50,1284.45,62600,1284.45
2016-09-01,1290.75,1290.75,1266.35,1280.25,69300,1280.25
2016-08-31,1268.00,1294.70,1265.55,1290.75,97700,1290.75
2016-08-30,1245.00,1285.00,1225.00,1267.50,123100,1267.50
2016-08-29,1257.70,1257.70,1235.25,1238.35,84800,1238.35
2016-08-26,1260.00,1261.75,1253.00,1257.90,50100,1257.90
2016-08-25,1266.00,1267.50,1254.50,1257.70,93400,1257.70
2016-08-24,1248.55,1264.50,1248.00,1262.20,111900,1262.20
2016-08-23,1255.50,1255.50,1246.05,1251.80,71500,1251.80
2016-08-22,1244.95,1254.05,1241.35,1248.85,235300,1248.85
2016-08-19,1252.00,1252.00,1240.85,1244.95,34400,1244.95
2016-08-18,1237.25,1253.20,1236.50,1251.20,770800,1251.20
2016-08-17,1230.10,1237.25,1227.00,1234.15,29800,1234.15
2016-08-16,1228.75,1237.05,1215.95,1225.95,93500,1225.95
2016-08-15,1228.35,1228.35,1228.35,1228.35,000,1228.35
2016-08-12,1232.00,1235.00,1220.00,1228.35,34300,1228.35
2016-08-11,1228.90,1234.95,1223.55,1228.30,27600,1228.30
2016-08-10,1250.00,1251.00,1223.00,1229.45,53300,1229.45
2016-08-09,1259.00,1259.00,1237.00,1247.25,46500,1247.25
2016-08-08,1253.00,1254.75,1244.20,1249.90,35300,1249.90
2016-08-05,1245.00,1255.85,1242.00,1249.00,115800,1249.00
2016-08-04,1245.55,1246.40,1234.00,1241.95,107400,1241.95
