Date,Open,High,Low,Close,Volume,Adj Close
2016-11-04,35.90,35.90,33.70,34.45,1446200,34.45
2016-11-03,36.00,37.10,35.30,35.55,1970400,35.55
2016-11-02,36.00,37.40,35.35,36.00,2309500,36.00
2016-11-01,37.00,37.75,36.25,36.50,1363500,36.50
2016-10-31,36.35,36.35,36.35,36.35,000,36.35
2016-10-28,36.30,37.40,36.15,36.35,1024600,36.35
2016-10-27,38.00,38.45,36.10,36.70,2601800,36.70
2016-10-26,37.60,39.60,37.20,37.90,3144400,37.90
2016-10-25,37.40,38.05,37.15,37.60,1011700,37.60
2016-10-24,37.70,38.70,37.40,37.60,1170800,37.60
2016-10-21,38.20,38.85,37.35,38.00,2114900,38.00
2016-10-20,37.90,39.35,37.75,37.90,2479100,37.90
2016-10-19,38.40,38.75,36.75,37.40,2641400,37.40
2016-10-18,34.90,38.90,34.50,38.15,5087100,38.15
2016-10-17,35.90,36.20,34.35,34.70,1336800,34.70
2016-10-14,33.90,35.90,33.80,35.65,2509500,35.65
2016-10-13,34.80,34.80,33.35,33.80,1022000,33.80
2016-10-12,34.95,34.95,34.95,34.95,000,34.95
2016-10-11,34.95,34.95,34.95,34.95,000,34.95
2016-10-10,35.80,35.80,34.80,34.95,975600,34.95
2016-10-07,35.80,36.15,35.15,35.40,998900,35.40
2016-10-06,36.70,37.00,35.40,35.75,1250000,35.75
2016-10-05,36.35,37.45,35.45,36.25,2184100,36.25
2016-10-04,37.20,37.35,35.65,36.10,1913100,36.10
2016-10-03,35.00,37.10,35.00,36.85,1900100,36.85
2016-09-30,33.00,35.50,31.80,34.95,2790900,34.95
2016-09-29,37.45,37.70,33.35,33.40,3460000,33.40
2016-09-28,37.00,37.65,36.85,37.05,944700,37.05
2016-09-27,36.90,38.20,36.70,36.95,2103800,36.95
2016-09-26,37.60,37.70,36.60,36.80,1654300,36.80
2016-09-23,38.70,38.70,37.50,37.75,1828200,37.75
2016-09-22,39.60,40.00,38.50,38.65,1530600,38.65
2016-09-21,39.90,40.65,38.80,38.95,3074400,38.95
2016-09-20,39.15,40.35,37.80,39.70,3252700,39.70
2016-09-19,39.00,39.95,38.65,39.05,2514200,39.05
2016-09-16,40.40,41.15,37.20,38.95,4750500,38.95
2016-09-15,41.50,41.75,39.40,39.85,4162900,39.85
2016-09-14,39.25,41.90,39.25,41.10,9916900,41.10
2016-09-13,38.10,38.10,38.10,38.10,000,38.10
2016-09-12,36.00,39.75,35.50,38.10,7690900,38.10
2016-09-09,37.05,39.00,35.15,37.75,9040700,37.75
2016-09-08,33.25,36.40,32.75,36.40,4778900,36.40
2016-09-07,34.80,35.00,32.90,33.10,3774800,33.10
2016-09-06,37.10,37.95,34.15,34.70,5426500,34.70
2016-09-05,35.55,35.55,35.55,35.55,000,35.55
2016-09-02,34.80,37.90,34.05,35.55,13851600,35.55
2016-09-01,29.90,33.00,29.20,32.75,19025600,32.75
2016-08-31,24.00,27.50,23.90,27.50,8590000,27.50
2016-08-30,23.10,23.30,22.90,22.95,368700,22.95
2016-08-29,23.30,23.55,22.75,23.00,397100,23.00
2016-08-26,24.15,24.15,23.30,23.45,842400,23.45
2016-08-25,22.90,24.25,22.90,23.35,2179800,23.35
2016-08-24,22.80,23.00,22.30,22.45,380800,22.45
2016-08-23,22.70,23.20,22.60,22.90,477900,22.90
2016-08-22,23.00,23.50,22.60,22.75,719800,22.75
2016-08-19,22.85,23.15,22.50,22.95,669600,22.95
2016-08-18,21.80,22.90,21.65,22.60,1049300,22.60
2016-08-17,21.80,22.00,21.55,21.65,387900,21.65
2016-08-16,22.00,22.30,21.65,21.80,340600,21.80
2016-08-15,22.15,22.15,22.15,22.15,000,22.15
2016-08-12,22.15,22.60,22.05,22.15,276100,22.15
2016-08-11,22.40,22.60,21.90,22.35,454200,22.35
2016-08-10,23.25,23.25,22.40,22.50,423900,22.50
2016-08-09,23.50,23.55,23.00,23.10,567600,23.10
2016-08-08,24.40,24.60,23.20,23.30,2264700,23.30
2016-08-05,22.90,23.45,22.65,23.25,1221900,23.25
2016-08-04,21.80,22.80,21.50,22.70,1020800,22.70
2016-08-03,22.20,22.20,21.25,21.60,707500,21.60
2016-08-02,22.90,22.90,22.00,22.15,568900,22.15
2016-08-01,23.55,23.80,22.60,22.80,852700,22.80
2016-07-29,23.55,23.95,23.25,23.35,740000,23.35
2016-07-28,23.95,24.35,23.35,23.45,1467300,23.45
2016-07-27,24.00,24.10,23.45,23.60,582000,23.60
2016-07-26,23.80,24.75,23.30,23.60,1739700,23.60
2016-07-25,24.10,24.10,23.50,23.65,488700,23.65
2016-07-22,22.75,24.25,22.55,23.70,1313700,23.70
2016-07-21,23.00,23.35,22.55,22.65,405000,22.65
2016-07-20,22.90,23.20,22.65,23.00,469600,23.00
2016-07-19,23.25,23.35,22.55,22.85,690500,22.85
2016-07-18,23.85,24.35,23.00,23.05,913400,23.05
2016-07-15,24.30,24.60,23.55,23.70,970700,23.70
2016-07-14,24.10,24.50,23.90,24.30,899100,24.30
2016-07-13,24.60,25.60,23.75,24.05,4814100,24.05
2016-07-12,23.15,24.70,22.60,24.35,2392700,24.35
2016-07-11,23.00,23.30,22.80,23.10,850500,23.10
2016-07-08,23.05,23.20,22.30,22.55,655700,22.55
2016-07-07,23.45,23.85,22.85,23.05,2152600,23.05
2016-07-06,23.05,23.05,23.05,23.05,000,23.05
2016-07-05,20.90,23.40,20.90,23.05,5922700,23.05
2016-07-04,21.10,21.60,20.80,20.90,770900,20.90
2016-07-01,20.50,21.40,20.50,21.05,945800,21.05
2016-06-30,20.50,20.75,20.30,20.50,622400,20.50
2016-06-29,20.00,20.55,19.95,20.30,599100,20.30
2016-06-28,19.40,20.00,19.40,19.75,357400,19.75
2016-06-27,19.20,19.75,19.05,19.60,458200,19.60
2016-06-24,19.50,19.50,18.55,19.05,789000,19.05
2016-06-23,19.95,20.00,19.60,19.75,292300,19.75
2016-06-22,20.30,20.60,19.90,20.00,448200,20.00
2016-06-21,20.75,20.95,20.30,20.40,550100,20.40
2016-06-20,20.05,21.40,20.05,20.75,1152800,20.75
2016-06-17,20.40,20.75,20.15,20.55,664100,20.55
2016-06-16,20.60,20.70,20.00,20.30,537100,20.30
2016-06-15,20.80,21.00,20.45,20.55,684800,20.55
2016-06-14,19.85,20.75,19.80,20.60,1189800,20.60
2016-06-13,19.50,19.70,19.25,19.50,348000,19.50
2016-06-10,19.60,20.15,19.45,19.80,753500,19.80
2016-06-09,20.30,20.30,19.40,19.60,550800,19.60
2016-06-08,18.60,20.10,18.60,19.95,1652200,19.95
2016-06-07,18.90,18.90,18.45,18.55,224700,18.55
2016-06-06,18.70,18.80,18.45,18.70,279800,18.70
2016-06-03,19.00,19.00,18.55,18.60,206300,18.60
2016-06-02,18.65,18.85,18.50,18.75,328400,18.75
2016-06-01,18.75,19.10,18.65,18.70,879800,18.70
2016-05-31,19.20,19.25,18.65,18.75,305300,18.75
2016-05-30,19.15,19.40,18.80,19.25,464900,19.25
2016-05-27,18.70,19.20,18.70,19.00,554000,19.00
2016-05-26,18.50,18.70,18.35,18.65,279000,18.65
2016-05-25,18.35,18.50,18.15,18.40,242000,18.40
2016-05-24,18.50,18.60,18.00,18.20,853900,18.20
2016-05-23,18.90,18.90,18.45,18.50,312900,18.50
2016-05-20,19.25,19.25,18.50,18.65,252600,18.65
2016-05-19,19.20,19.50,18.95,19.00,608600,19.00
2016-05-18,19.00,19.30,18.75,19.20,396000,19.20
2016-05-17,19.20,19.35,18.90,19.00,287300,19.00
2016-05-16,19.25,19.35,18.70,19.10,454700,19.10
2016-05-13,19.80,19.90,18.90,19.15,596800,19.15
2016-05-12,19.90,20.00,19.60,19.90,507900,19.90
2016-05-11,19.90,20.00,19.60,19.75,330500,19.75
2016-05-10,19.85,20.30,19.60,20.15,467000,20.15
2016-05-09,19.50,20.05,19.45,19.85,395200,19.85
2016-05-06,19.70,19.70,19.30,19.40,370300,19.40
2016-05-05,19.80,20.10,19.50,19.55,537500,19.55
2016-05-04,20.20,20.35,19.65,19.75,616900,19.75
2016-05-03,20.75,20.75,20.10,20.20,619100,20.20
2016-05-02,20.80,20.80,20.30,20.50,411500,20.50
2016-04-29,22.15,22.30,20.50,20.90,1397600,20.90
2016-04-28,22.50,22.75,21.80,22.00,1083400,22.00
2016-04-27,22.25,22.55,22.10,22.40,824600,22.40
2016-04-26,21.85,22.25,21.65,22.10,668900,22.10
2016-04-25,21.90,22.15,21.60,21.85,896700,21.85
2016-04-22,21.35,21.60,21.20,21.45,420400,21.45
2016-04-21,22.00,22.10,21.25,21.35,518600,21.35
2016-04-20,21.60,22.05,21.30,21.75,872100,21.75
2016-04-19,21.45,21.45,21.45,21.45,000,21.45
2016-04-18,21.30,21.65,21.05,21.45,629400,21.45
2016-04-15,21.05,21.05,21.05,21.05,000,21.05
2016-04-14,21.05,21.05,21.05,21.05,000,21.05
2016-04-13,21.45,21.70,21.00,21.05,1187600,21.05
2016-04-12,20.85,21.40,20.75,21.00,719600,21.00
2016-04-11,21.05,21.15,20.75,20.85,512300,20.85
2016-04-08,20.80,21.00,20.55,20.90,672100,20.90
2016-04-07,21.40,21.50,20.65,20.75,1320400,20.75
2016-04-06,20.00,21.25,19.90,21.15,3025100,21.15
2016-04-05,19.75,20.10,19.40,19.55,514000,19.55
2016-04-04,20.00,20.15,19.70,19.85,309900,19.85
2016-04-01,19.55,20.10,19.50,19.75,458400,19.75
2016-03-31,19.65,20.50,19.50,19.60,1245900,19.60
2016-03-30,19.50,19.95,19.40,19.65,594000,19.65
2016-03-29,19.60,19.60,19.05,19.20,720700,19.20
2016-03-28,19.85,20.20,19.20,19.45,1296900,19.45
2016-03-25,19.85,19.85,19.85,19.85,000,19.85
2016-03-24,19.85,19.85,19.85,19.85,000,19.85
2016-03-23,19.30,20.25,18.95,19.85,2214400,19.85
2016-03-22,19.45,19.50,19.00,19.20,720600,19.20
2016-03-21,19.35,19.45,19.05,19.25,359900,19.25
2016-03-18,19.65,19.65,18.90,19.35,558700,19.35
2016-03-17,19.45,19.80,19.10,19.25,396100,19.25
2016-03-16,19.60,19.70,19.05,19.25,394700,19.25
2016-03-15,19.75,19.90,19.40,19.50,648900,19.50
2016-03-14,20.35,20.40,19.60,19.75,890700,19.75
2016-03-11,19.80,20.60,19.60,19.95,1109200,19.95
2016-03-10,20.10,20.40,19.65,19.75,626000,19.75
2016-03-09,19.45,20.10,19.10,19.95,825000,19.95
2016-03-08,20.00,20.00,19.35,19.65,521600,19.65
2016-03-07,19.85,19.85,19.85,19.85,000,19.85
2016-03-04,19.75,20.35,19.55,19.85,1113800,19.85
2016-03-03,19.60,19.60,18.85,19.30,931000,19.30
2016-03-02,18.90,19.75,18.90,19.30,875000,19.30
2016-03-01,18.00,18.80,17.85,18.65,1001600,18.65
2016-02-29,17.50,18.20,17.05,17.60,801100,17.60
2016-02-26,17.20,17.60,17.00,17.25,580300,17.25
2016-02-25,17.50,17.60,17.10,17.20,614900,17.20
2016-02-24,17.45,17.70,17.10,17.35,608700,17.35
2016-02-23,18.00,18.00,17.05,17.45,1870200,17.45
2016-02-22,17.60,17.90,17.45,17.75,420200,17.75
2016-02-19,17.50,17.75,17.15,17.30,1246300,17.30
2016-02-18,17.70,18.20,17.30,17.55,802200,17.55
2016-02-17,18.05,18.05,16.70,17.50,859400,17.50
2016-02-16,19.00,19.20,17.95,18.05,792800,18.05
2016-02-15,18.00,18.80,18.00,18.50,587900,18.50
2016-02-12,18.20,18.40,16.60,17.65,1033800,17.65
2016-02-11,18.65,19.00,17.70,18.00,705200,18.00
2016-02-10,19.65,19.70,18.40,18.75,819900,18.75
2016-02-09,20.15,20.15,19.50,19.60,666400,19.60
2016-02-08,20.45,21.00,20.20,20.35,481300,20.35
2016-02-05,20.00,20.55,19.55,20.45,532900,20.45
2016-02-04,20.30,20.50,19.40,19.95,610300,19.95
2016-02-03,19.90,20.50,19.45,20.00,965200,20.00
2016-02-02,22.70,22.70,19.65,20.25,1255300,20.25
2016-02-01,22.25,22.80,22.15,22.25,840900,22.25
2016-01-29,21.55,22.10,20.95,21.85,993400,21.85
2016-01-28,20.90,22.40,18.75,21.65,2587000,21.65
2016-01-27,20.70,21.35,20.40,20.85,513400,20.85
2016-01-26,20.40,20.40,20.40,20.40,000,20.40
2016-01-25,20.35,21.05,19.95,20.40,624400,20.40
2016-01-22,19.50,20.25,19.30,20.00,771100,20.00
2016-01-21,19.45,19.85,18.85,19.10,756700,19.10
2016-01-20,19.65,19.80,18.80,19.00,1000700,19.00
2016-01-19,20.00,20.90,19.70,20.15,1298000,20.15
2016-01-18,20.70,21.10,19.55,19.75,864300,19.75
2016-01-15,23.05,23.40,20.70,20.95,932500,20.95
2016-01-14,22.95,23.40,22.40,22.75,679400,22.75
2016-01-13,24.70,25.10,22.40,23.40,1291100,23.40
2016-01-12,25.00,25.45,24.45,24.55,587200,24.55
2016-01-11,25.00,25.55,24.70,25.10,458600,25.10
2016-01-08,25.05,25.70,25.05,25.40,514400,25.40
2016-01-07,25.50,25.60,24.60,24.75,969600,24.75
2016-01-06,26.20,27.40,25.90,26.20,2263400,26.20
2016-01-05,25.55,26.70,25.55,26.25,1190500,26.25
2016-01-04,25.70,26.85,25.20,25.40,1772600,25.40
2016-01-01,25.30,26.30,25.20,25.75,813800,25.75
2015-12-31,25.30,25.40,24.85,25.25,480300,25.25
2015-12-30,25.30,26.20,25.15,25.30,1154500,25.30
2015-12-29,25.90,25.90,25.00,25.15,619700,25.15
2015-12-28,26.20,26.50,25.55,25.65,656000,25.65
2015-12-25,26.20,26.20,26.20,26.20,000,26.20
2015-12-24,25.30,27.10,24.85,26.20,2262900,26.20
2015-12-23,25.35,25.85,25.20,25.25,524800,25.25
2015-12-22,25.30,25.90,25.10,25.25,751200,25.25
2015-12-21,24.40,25.35,24.40,25.15,455000,25.15
2015-12-18,24.80,25.15,24.35,24.65,674700,24.65
2015-12-17,24.50,24.75,24.10,24.50,480000,24.50
2015-12-16,24.30,24.45,23.90,24.00,450100,24.00
2015-12-15,24.30,24.60,23.90,24.10,538400,24.10
2015-12-14,23.60,24.60,23.50,24.10,536300,24.10
2015-12-11,24.90,24.90,23.60,23.85,685500,23.85
2015-12-10,23.10,24.85,23.05,24.70,1182800,24.70
2015-12-09,24.10,24.15,22.60,22.85,1092800,22.85
2015-12-08,25.25,25.45,23.80,24.05,834600,24.05
2015-12-07,25.90,25.90,25.20,25.35,443100,25.35
2015-12-04,25.65,26.45,25.35,25.45,822300,25.45
2015-12-03,26.60,27.40,25.80,26.20,896400,26.20
2015-12-02,26.90,27.15,26.35,26.60,639900,26.60
2015-12-01,27.20,27.50,26.55,26.70,867700,26.70
2015-11-30,26.80,27.55,26.45,27.25,1473800,27.25
2015-11-27,27.15,27.55,26.30,26.55,1939400,26.55
2015-11-26,25.10,27.25,25.00,26.90,3914400,26.90
2015-11-25,24.95,24.95,24.95,24.95,000,24.95
