Date,Open,High,Low,Close,Volume,Adj Close
2016-11-03,157.10,166.35,155.80,162.40,5540700,162.40
2016-11-02,155.00,157.90,153.05,156.35,822400,156.35
2016-11-01,150.25,159.45,149.95,156.55,1989600,156.55
2016-10-31,149.60,149.60,149.60,149.60,000,149.60
2016-10-28,148.80,150.20,148.00,149.60,514400,149.60
2016-10-27,149.05,150.90,147.30,148.35,738400,148.35
2016-10-26,150.10,152.25,148.65,150.00,1035600,150.00
2016-10-25,150.55,152.45,147.75,150.45,1530000,150.45
2016-10-24,152.00,153.10,150.50,150.95,1129800,150.95
2016-10-21,155.95,156.00,150.95,151.90,947200,151.90
2016-10-20,152.00,156.10,151.65,155.25,1848700,155.25
2016-10-19,153.00,154.00,150.05,150.95,991100,150.95
2016-10-18,152.00,153.40,149.40,152.20,1612900,152.20
2016-10-17,153.90,155.45,150.00,150.70,1190700,150.70
2016-10-14,156.50,156.50,153.40,154.55,1373200,154.55
2016-10-13,158.50,159.25,152.25,155.05,736700,155.05
2016-10-12,160.65,160.65,160.65,160.65,000,160.65
2016-10-11,160.65,160.65,160.65,160.65,000,160.65
2016-10-10,158.40,162.70,158.40,160.65,947300,160.65
2016-10-07,158.00,160.25,156.70,158.05,986900,158.05
2016-10-06,158.45,161.45,156.00,158.25,1140400,158.25
2016-10-05,156.00,159.20,155.90,157.00,3447100,157.00
2016-10-04,154.95,157.50,152.40,154.55,3609700,154.55
2016-10-03,153.90,155.05,152.70,154.10,2149100,154.10
2016-09-30,147.90,154.35,146.40,152.85,847700,152.85
2016-09-29,157.05,157.90,147.90,150.10,874000,150.10
2016-09-28,149.60,157.90,148.55,156.10,1745400,156.10
2016-09-27,153.50,155.20,149.40,149.80,1151700,149.80
2016-09-26,153.90,155.15,152.10,153.15,606800,153.15
2016-09-23,154.50,156.65,153.05,154.00,2441100,154.00
2016-09-22,157.90,157.90,152.00,154.05,1897400,154.05
2016-09-21,146.00,151.00,144.80,149.10,1026000,149.10
2016-09-20,143.05,146.20,142.65,145.35,563200,145.35
2016-09-19,142.15,144.60,141.75,144.00,998500,144.00
2016-09-16,146.60,147.75,142.15,142.95,615500,142.95
2016-09-15,145.10,145.95,141.20,145.20,839100,145.20
2016-09-14,140.75,143.80,138.75,143.25,1302300,143.25
2016-09-13,140.80,140.80,140.80,140.80,000,140.80
2016-09-12,152.00,152.00,140.10,140.80,1752300,140.80
2016-09-09,162.25,163.00,154.10,154.70,873200,154.70
2016-09-08,159.10,163.40,159.10,161.95,1494600,161.95
2016-09-07,159.00,161.75,158.30,159.80,842600,159.80
2016-09-06,156.00,159.90,156.00,158.50,979100,158.50
2016-09-05,157.35,157.35,157.35,157.35,000,156.35
2016-09-02,158.00,158.90,154.65,157.35,574400,156.35
2016-09-01,159.60,160.55,156.70,157.65,690000,156.6481
2016-08-31,163.00,164.70,158.60,159.70,1273700,158.6851
2016-08-30,159.50,163.50,159.00,162.75,1173600,161.7157
2016-08-29,155.20,159.70,154.60,158.35,746300,157.3436
2016-08-26,154.25,156.90,154.20,155.10,1303700,154.1143
2016-08-25,157.00,157.70,153.50,154.25,459300,153.2697
2016-08-24,156.00,157.45,155.40,156.90,546200,155.9028
2016-08-23,155.60,156.90,153.75,155.35,574600,154.3627
2016-08-22,158.60,158.60,155.30,156.00,621800,155.0086
2016-08-19,156.00,159.25,156.00,158.45,2026900,157.443
