Date,Open,High,Low,Close,Volume,Adj Close
2016-11-04,310.10,311.20,294.00,305.70,288000,305.70
2016-11-03,315.60,319.80,308.85,310.05,196000,310.05
2016-11-02,324.00,325.00,315.00,315.60,200300,315.60
2016-11-01,326.05,327.75,323.70,325.05,1045700,325.05
2016-10-31,323.00,323.00,323.00,323.00,000,323.00
2016-10-28,315.00,323.90,314.25,323.00,346400,323.00
2016-10-27,322.20,324.50,310.10,312.40,441900,312.40
2016-10-26,327.00,327.75,320.00,322.05,621800,322.05
2016-10-25,324.10,328.65,323.75,326.90,124000,326.90
2016-10-24,325.00,328.40,323.45,327.20,241000,327.20
2016-10-21,324.50,325.00,321.10,324.20,475200,324.20
2016-10-20,327.45,328.50,318.75,321.35,210400,321.35
2016-10-19,323.75,328.00,322.10,326.90,305600,326.90
2016-10-18,324.00,324.75,317.75,320.70,553800,320.70
2016-10-17,325.00,325.50,319.375,321.35,5108100,160.675
2016-10-14,631.00,646.25,631.00,643.40,787600,321.70
2016-10-13,634.00,642.80,621.35,626.10,684600,313.05
2016-10-12,634.50,634.50,634.50,634.50,000,317.25
2016-10-11,634.50,634.50,634.50,634.50,000,317.25
2016-10-10,642.00,649.00,630.00,634.50,146000,317.25
2016-10-07,1314.00,1334.40,1274.40,1281.40,343500,640.70
2016-10-06,1236.00,1317.90,1236.00,1298.90,574500,649.45
2016-10-05,1226.00,1235.60,1212.00,1231.90,463400,615.95
2016-10-04,1207.00,1235.00,1207.00,1225.60,138100,612.80
2016-10-03,1162.00,1212.20,1162.00,1207.00,247800,603.50
2016-09-30,1146.80,1170.00,1142.50,1165.50,85400,582.75
2016-09-29,1183.40,1197.60,1140.80,1144.80,324500,572.40
2016-09-28,1174.20,1187.80,1174.20,1183.60,155000,591.80
2016-09-27,1190.00,1198.00,1167.20,1171.20,194100,585.60
2016-09-26,1175.60,1197.10,1165.00,1184.80,281500,592.40
2016-09-23,1158.00,1176.00,1154.00,1167.30,192800,583.65
2016-09-22,1146.00,1159.50,1146.00,1156.00,206400,578.00
2016-09-21,1146.00,1157.70,1140.00,1142.30,113800,571.15
2016-09-20,1140.00,1151.00,1136.00,1140.20,275300,570.10
2016-09-19,1150.00,1153.90,1139.80,1143.20,248800,571.60
2016-09-16,1126.00,1147.80,1120.00,1139.50,339700,569.75
2016-09-15,1138.80,1138.80,1114.30,1117.00,214800,558.50
2016-09-14,1106.30,1139.10,1106.30,1131.70,261600,565.85
2016-09-13,1106.30,1106.30,1106.30,1106.30,000,553.15
2016-09-12,1120.00,1124.50,1100.50,1106.30,200600,553.15
2016-09-09,1130.00,1140.00,1122.20,1127.40,134700,563.70
2016-09-08,1130.00,1144.80,1122.00,1126.80,295100,563.40
2016-09-07,1146.50,1154.70,1129.80,1133.00,766600,566.50
2016-09-06,1150.00,1156.90,1143.60,1146.50,221800,573.25
2016-09-05,1145.70,1145.70,1145.70,1145.70,000,572.85
2016-09-02,1140.00,1151.20,1130.00,1145.70,229000,572.85
2016-09-01,1161.00,1164.80,1143.30,1149.80,222500,566.40
2016-08-31,1153.90,1160.00,1144.90,1151.50,295600,567.2374
2016-08-30,1160.00,1161.40,1138.40,1147.00,526600,565.0207
2016-08-29,1152.30,1165.80,1130.20,1143.90,893100,563.4936
2016-08-26,1150.00,1156.00,1141.50,1147.60,289200,565.3163
2016-08-25,1140.00,1145.60,1117.20,1140.90,410300,562.0158
2016-08-24,1090.00,1139.40,1086.00,1129.10,706800,556.203
2016-08-23,1112.20,1129.50,1078.30,1086.10,584600,535.0209
2016-08-22,1141.00,1148.40,1117.50,1120.70,172000,552.0651
2016-08-19,1122.00,1135.10,1110.60,1131.80,640500,557.5331
2016-08-18,1095.70,1126.80,1090.00,1121.80,161100,552.607
2016-08-17,1076.00,1108.40,1076.00,1090.80,173800,537.3362
2016-08-16,1077.00,1103.80,1071.60,1090.20,115900,537.0406
2016-08-15,1076.60,1076.60,1076.60,1076.60,000,530.3411
2016-08-12,1093.30,1094.80,1070.20,1076.60,140800,530.3411
2016-08-11,1077.40,1106.50,1063.80,1089.60,231500,536.745
2016-08-10,1134.00,1142.00,1070.50,1077.40,262300,530.7352
2016-08-09,1170.00,1170.60,1128.10,1130.50,158100,556.8927
2016-08-08,1161.00,1186.50,1149.30,1164.00,557000,573.395
2016-08-05,1100.00,1162.00,1100.00,1150.00,319700,566.4985
2016-08-04,1106.00,1112.00,1081.60,1090.40,190400,537.1391
2016-08-03,1106.20,1126.00,1098.00,1103.80,352300,543.7401
2016-08-02,1084.10,1118.00,1084.10,1106.10,444900,544.873
2016-08-01,1092.00,1104.00,1070.40,1084.10,123600,534.0357
2016-07-29,1070.00,1095.60,1067.00,1086.80,295200,535.3658
2016-07-28,1080.00,1083.00,1060.30,1065.40,169400,524.824
2016-07-27,1064.00,1086.20,1064.00,1072.00,446700,528.0751
2016-07-26,1087.00,1090.90,1061.40,1066.10,186900,525.1688
2016-07-25,1059.80,1099.40,1054.80,1073.50,546700,528.8141
2016-07-22,1039.70,1049.10,1026.40,1042.90,895800,513.7403
2016-07-21,1042.00,1063.60,1031.20,1039.20,440300,511.9176
2016-07-20,996.00,1029.30,994.00,1025.60,708600,505.2182
2016-07-19,950.20,992.00,947.50,986.70,469300,486.0557
2016-07-18,960.00,976.00,942.20,945.10,159100,465.5633
2016-07-15,970.00,970.00,950.20,955.80,50900,470.8342
2016-07-14,951.00,967.80,951.00,963.00,87500,474.3809
