Date,Open,High,Low,Close,Volume,Adj Close
2016-11-04,251.00,256.00,247.39999,249.10001,6620400,249.10001
2016-11-03,237.80,242.05,236.14999,240.35001,1212200,240.35001
2016-11-02,237.25,238.95,235.50,237.30,646300,237.30
2016-11-01,242.00,242.64999,238.70,239.85001,816200,239.85001
2016-10-31,242.55,242.55,242.55,242.55,000,242.55
2016-10-28,244.95,244.95,239.75,242.55,691600,242.55
2016-10-27,240.10001,244.55,239.80,243.30,2698300,243.30
2016-10-26,239.95,242.45,233.60001,238.89999,2206500,238.89999
2016-10-25,241.95,242.35001,237.85001,238.75,924000,238.75
2016-10-24,242.00,242.00,239.75,241.20,495600,241.20
2016-10-21,240.45,240.89999,238.75,239.85001,251300,239.85001
2016-10-20,240.00,241.39999,238.25,239.30,1439000,239.30
2016-10-19,245.80,245.89999,238.50,239.80,1547800,239.80
2016-10-18,241.89999,246.50,240.55,245.80,2609600,245.80
2016-10-17,240.25,241.75,238.55,240.45,4027000,240.45
2016-10-14,239.95,240.75,238.50,239.80,3217800,239.80
2016-10-13,240.14999,241.20,237.50,239.14999,1319600,239.14999
2016-10-12,240.14999,240.14999,240.14999,240.14999,000,240.14999
2016-10-11,240.14999,240.14999,240.14999,240.14999,000,240.14999
2016-10-10,241.00,242.75,239.64999,240.14999,383000,240.14999
2016-10-07,238.00,240.30,237.05,239.14999,549200,239.14999
2016-10-06,242.00,242.00,236.20,238.00,584000,238.00
2016-10-05,242.00,243.10001,239.30,240.30,632300,240.30
2016-10-04,243.00,244.05,240.85001,241.45,854400,241.45
2016-10-03,242.35001,244.25,242.00,242.10001,1400700,242.10001
2016-09-30,246.00,246.14999,240.80,241.55,687500,241.55
2016-09-29,248.45,248.50,241.39999,245.55,729800,245.55
2016-09-28,245.80,249.64999,245.50,247.05,567800,247.05
2016-09-27,249.39999,249.39999,245.20,245.80,567800,245.80
2016-09-26,252.35001,252.75,247.55,248.20,571000,248.20
2016-09-23,255.00,256.95001,252.00,253.85001,414800,253.85001
2016-09-22,255.10001,257.25,253.60001,255.20,469800,255.20
2016-09-21,256.89999,258.75,253.20,253.80,397800,253.80
2016-09-20,259.64999,259.75,255.50,257.04999,246700,257.04999
2016-09-19,262.54999,262.54999,257.70001,258.14999,2317400,258.14999
2016-09-16,255.10001,262.25,255.10001,260.39999,613400,260.39999
2016-09-15,252.00,258.00,252.00,255.10001,1535500,255.10001
2016-09-14,251.00,253.00,249.75,252.00,1679300,252.00
2016-09-13,252.25,252.25,252.25,252.25,000,252.25
2016-09-12,257.64999,257.64999,251.80,252.25,701400,252.25
2016-09-09,264.39999,264.39999,257.45001,258.70001,574000,258.70001
2016-09-08,263.00,266.00,262.89999,265.29999,638200,265.29999
2016-09-07,263.00,264.95001,261.54999,261.70001,1860800,261.70001
2016-09-06,262.79999,266.00,261.10001,262.35001,763100,262.35001
