Date,Open,High,Low,Close,Volume,Adj Close
2016-11-04,1422.00,1434.00,1397.00,1418.90,7285400,1418.90
2016-11-03,1440.00,1465.80,1440.00,1444.55,83900,1444.55
2016-11-02,1457.00,1457.00,1437.00,1446.35,114800,1446.35
2016-11-01,1477.20,1480.15,1462.50,1464.60,64500,1464.60
2016-10-31,1477.90,1477.90,1477.90,1477.90,000,1477.90
2016-10-28,1472.00,1483.00,1463.05,1477.90,105300,1477.90
2016-10-27,1472.00,1481.25,1458.05,1473.40,117500,1473.40
2016-10-26,1484.80,1488.00,1472.00,1482.70,65400,1482.70
2016-10-25,1497.00,1499.50,1480.00,1484.40,76300,1484.40
2016-10-24,1515.95,1520.00,1485.05,1494.55,127000,1494.55
2016-10-21,1500.00,1514.50,1494.00,1510.50,124300,1510.50
2016-10-20,1495.00,1506.90,1482.05,1504.05,130500,1504.05
2016-10-19,1488.50,1498.70,1475.50,1485.80,210700,1485.80
2016-10-18,1452.50,1491.45,1451.25,1488.50,150500,1488.50
2016-10-17,1480.00,1480.00,1442.00,1447.30,337200,1447.30
2016-10-14,1438.20,1475.00,1438.20,1472.50,142400,1472.50
2016-10-13,1444.00,1446.95,1432.20,1436.40,84900,1436.40
2016-10-12,1451.20,1451.20,1451.20,1451.20,000,1451.20
2016-10-11,1451.20,1451.20,1451.20,1451.20,000,1451.20
2016-10-10,1457.00,1465.50,1448.00,1451.20,45700,1451.20
2016-10-07,1457.00,1459.00,1441.50,1454.85,68200,1454.85
2016-10-06,1462.00,1467.80,1446.00,1454.55,93200,1454.55
2016-10-05,1455.00,1460.75,1441.50,1453.15,115000,1453.15
2016-10-04,1477.00,1480.10,1444.20,1448.90,179000,1448.90
2016-10-03,1440.00,1474.00,1436.00,1469.85,140400,1469.85
2016-09-30,1432.00,1440.00,1412.55,1431.65,216200,1431.65
2016-09-29,1460.00,1469.00,1421.05,1436.50,152400,1436.50
2016-09-28,1443.00,1466.55,1439.55,1455.30,108500,1455.30
2016-09-27,1470.00,1476.55,1435.00,1439.50,155100,1439.50
2016-09-26,1494.90,1510.20,1465.20,1468.70,125800,1468.70
2016-09-23,1500.10,1516.00,1491.40,1496.80,116200,1496.80
2016-09-22,1484.10,1502.55,1478.35,1499.00,173900,1499.00
2016-09-21,1478.70,1487.55,1467.00,1471.35,77100,1471.35
2016-09-20,1482.00,1483.00,1470.10,1475.00,57000,1475.00
2016-09-19,1473.00,1483.40,1465.00,1480.20,74300,1480.20
2016-09-16,1476.10,1498.45,1470.60,1475.50,145300,1475.50
2016-09-15,1475.20,1478.00,1458.00,1470.60,101300,1470.60
2016-09-14,1463.50,1481.25,1457.00,1475.10,133100,1475.10
2016-09-13,1463.50,1463.50,1463.50,1463.50,000,1463.50
2016-09-12,1498.60,1498.60,1460.75,1463.50,211000,1463.50
2016-09-09,1537.90,1540.75,1514.00,1519.40,78500,1519.40
2016-09-08,1515.00,1545.75,1515.00,1538.90,103100,1538.90
2016-09-07,1515.90,1540.80,1505.00,1519.20,185900,1519.20
2016-09-06,1510.00,1523.50,1505.15,1515.90,526400,1515.90
2016-09-05,1502.40,1502.40,1502.40,1502.40,000,1502.40
2016-09-02,1509.45,1510.10,1487.10,1502.40,84800,1502.40
2016-09-01,1510.00,1516.50,1501.55,1507.65,116400,1507.65
2016-08-31,1473.85,1518.80,1470.75,1513.85,313900,1513.85
2016-08-30,1465.00,1477.00,1458.00,1473.85,205500,1473.85
2016-08-29,1435.00,1462.00,1421.00,1456.20,189500,1456.20
2016-08-26,1455.00,1460.80,1420.00,1427.85,210600,1427.85
2016-08-25,1475.00,1483.20,1452.50,1457.35,117700,1457.35
2016-08-24,1480.00,1484.00,1466.00,1473.00,97000,1473.00
2016-08-23,1493.95,1493.95,1464.75,1475.60,102700,1475.60
2016-08-22,1493.00,1501.75,1480.00,1492.10,84900,1492.10
2016-08-19,1486.00,1497.45,1480.60,1490.40,80900,1490.40
2016-08-18,1492.50,1498.90,1481.00,1482.65,86000,1482.65
