Date,Open,High,Low,Close,Volume,Adj Close
2016-11-04,1460.00,1461.95,1394.00,1420.90,182600,1420.90
2016-11-03,1495.00,1501.50,1468.00,1473.55,80000,1473.55
2016-11-02,1511.00,1524.00,1492.05,1495.50,83700,1495.50
2016-11-01,1527.00,1543.00,1509.00,1513.00,71100,1513.00
2016-10-31,1490.30,1490.30,1490.30,1490.30,000,1490.30
2016-10-28,1490.25,1505.80,1485.05,1490.30,47600,1490.30
2016-10-27,1505.00,1505.05,1475.25,1485.00,50500,1485.00
2016-10-26,1524.70,1537.40,1501.10,1508.60,90100,1508.60
2016-10-25,1530.00,1544.70,1520.00,1524.70,46200,1524.70
2016-10-24,1502.10,1538.65,1500.20,1529.60,91200,1529.60
2016-10-21,1503.00,1518.00,1493.25,1498.90,37300,1498.90
2016-10-20,1520.00,1521.95,1499.95,1501.80,42300,1501.80
2016-10-19,1485.05,1517.90,1485.05,1512.05,101000,1512.05
2016-10-18,1450.00,1491.00,1450.00,1481.75,55300,1481.75
2016-10-17,1474.90,1475.55,1444.00,1447.60,65300,1447.60
2016-10-14,1485.00,1493.10,1453.50,1464.30,282500,1464.30
2016-10-13,1520.00,1520.00,1475.30,1480.40,78400,1480.40
2016-10-12,1516.25,1516.25,1516.25,1516.25,000,1516.25
2016-10-11,1516.25,1516.25,1516.25,1516.25,000,1516.25
2016-10-10,1513.75,1523.20,1500.00,1516.25,56600,1516.25
2016-10-07,1488.00,1503.40,1485.75,1498.75,153300,1498.75
2016-10-06,1499.90,1502.75,1482.00,1484.65,164200,1484.65
2016-10-05,1491.50,1502.50,1484.95,1491.20,88200,1491.20
2016-10-04,1496.00,1509.20,1483.40,1489.75,103600,1489.75
2016-10-03,1490.00,1507.25,1486.00,1494.25,98000,1494.25
2016-09-30,1465.00,1489.50,1460.00,1485.45,126500,1485.45
2016-09-29,1524.90,1530.00,1455.20,1469.50,119700,1469.50
2016-09-28,1501.10,1530.00,1501.10,1516.55,54300,1516.55
2016-09-27,1498.10,1519.60,1496.00,1513.90,136100,1513.90
2016-09-26,1492.55,1504.00,1466.10,1495.05,95300,1495.05
2016-09-23,1529.00,1530.00,1484.05,1488.75,124800,1488.75
2016-09-22,1558.00,1559.00,1517.80,1528.30,80500,1528.30
2016-09-21,1553.80,1560.85,1541.75,1546.35,63600,1546.35
2016-09-20,1540.00,1559.95,1535.10,1548.75,57800,1548.75
2016-09-19,1544.90,1554.40,1531.15,1542.80,113100,1542.80
2016-09-16,1546.50,1556.00,1532.00,1538.05,101800,1538.05
2016-09-15,1535.00,1554.90,1530.00,1545.25,117300,1545.25
2016-09-14,1533.00,1549.90,1524.00,1534.95,49700,1534.95
2016-09-13,1533.00,1533.00,1533.00,1533.00,000,1533.00
2016-09-12,1569.90,1570.00,1525.95,1533.00,85900,1533.00
2016-09-09,1585.00,1590.00,1562.45,1568.20,71900,1568.20
2016-09-08,1544.30,1585.00,1539.60,1579.40,103500,1579.40
