Date,Open,High,Low,Close,Volume,Adj Close
2016-10-21,280.80,281.35,276.15,280.00,231300,280.00
2016-10-20,280.10,283.25,278.65,281.50,296300,281.50
2016-10-19,276.50,280.30,276.50,278.65,323400,278.65
2016-10-18,279.00,281.00,275.05,276.35,266400,276.35
2016-10-17,278.00,280.00,275.70,278.45,253600,278.45
2016-10-14,274.00,278.50,272.00,276.55,637600,276.55
2016-10-13,268.00,274.95,265.60,272.05,1044900,272.05
2016-10-12,267.50,267.50,267.50,267.50,000,267.50
2016-10-11,267.50,267.50,267.50,267.50,000,267.50
2016-10-10,267.70,269.95,263.70,267.50,342500,267.50
2016-10-07,270.50,273.75,266.90,267.70,887400,267.70
2016-10-06,268.00,273.25,266.65,268.70,615200,268.70
2016-10-05,274.00,275.25,265.70,266.75,574400,266.75
2016-10-04,262.95,275.00,262.00,273.75,886700,273.75
2016-10-03,257.10,262.00,252.75,260.20,986600,260.20
2016-09-30,250.00,258.00,250.00,256.70,825700,256.70
2016-09-29,254.95,258.05,248.30,251.20,929000,251.20
2016-09-28,250.00,252.40,245.50,251.60,192900,251.60
2016-09-27,250.80,252.00,246.50,247.50,404600,247.50
2016-09-26,258.15,260.50,248.80,250.50,835700,250.50
2016-09-23,260.15,263.00,258.05,260.50,312700,260.50
2016-09-22,257.55,260.90,257.55,259.45,260500,259.45
2016-09-21,257.75,259.25,254.20,256.00,822700,256.00
2016-09-20,254.05,260.40,253.80,257.75,607100,257.75
2016-09-19,250.00,255.35,250.00,254.00,359100,254.00
2016-09-16,250.00,252.90,248.15,251.30,1528000,251.30
2016-09-15,250.00,250.05,245.35,247.85,454700,247.85
2016-09-14,251.00,252.40,245.70,248.25,355300,248.25
2016-09-13,251.15,251.15,251.15,251.15,000,251.15
2016-09-12,250.00,252.70,246.20,251.15,959100,251.15
2016-09-09,247.90,256.90,247.00,254.40,1137600,254.40
2016-09-08,249.50,254.70,244.60,246.25,1129300,246.25
2016-09-07,240.00,246.10,238.50,245.10,1154400,245.10
2016-09-06,239.00,241.70,238.00,239.10,424500,239.10
2016-09-05,238.85,238.85,238.85,238.85,000,238.85
2016-09-02,237.00,239.95,235.35,238.85,383000,238.85
2016-09-01,236.40,238.95,235.20,236.55,346800,236.55
2016-08-31,239.90,241.30,235.10,237.05,418800,237.05
2016-08-30,238.00,242.75,237.50,241.70,435600,238.45
2016-08-29,238.50,239.35,236.80,237.25,127000,234.0598
2016-08-26,240.40,240.40,236.15,238.45,232500,235.2437
2016-08-25,241.90,242.70,237.60,238.25,179600,235.0464
2016-08-24,240.00,242.95,239.50,240.85,342100,237.6114
