Date,Open,High,Low,Close,Volume,Adj Close
2016-11-04,515.05,521.20,492.50,495.15,354700,495.15
2016-11-03,519.20,527.65,513.35,516.75,266600,516.75
2016-11-02,532.00,532.50,516.40,519.20,290600,519.20
2016-11-01,544.70,547.40,537.00,538.50,184200,538.50
2016-10-31,543.65,543.65,543.65,543.65,000,543.65
2016-10-28,544.70,549.45,536.50,543.65,273400,543.65
2016-10-27,554.00,554.90,541.80,543.65,263800,543.65
2016-10-26,573.90,573.90,552.75,556.10,236000,556.10
2016-10-25,581.70,581.70,571.70,574.55,130000,574.55
2016-10-24,579.00,586.00,577.50,579.65,226200,579.65
2016-10-21,580.05,580.10,568.65,575.35,411500,575.35
2016-10-20,574.70,582.35,573.00,578.00,288000,578.00
2016-10-19,574.10,576.55,566.75,570.20,290100,570.20
2016-10-18,561.70,574.85,561.70,573.00,408400,573.00
2016-10-17,574.70,574.70,555.00,557.05,382400,557.05
2016-10-14,565.05,573.35,564.40,570.85,379000,570.85
2016-10-13,578.15,582.70,557.40,563.65,472200,563.65
2016-10-12,583.40,583.40,583.40,583.40,000,583.40
2016-10-11,583.40,583.40,583.40,583.40,000,583.40
2016-10-10,589.90,594.40,580.95,583.40,308300,583.40
2016-10-07,585.00,589.75,580.30,585.25,486400,585.25
2016-10-06,593.70,600.40,578.20,583.35,626100,583.35
2016-10-05,592.00,606.25,583.50,591.05,723100,591.05
2016-10-04,603.40,603.40,584.20,589.75,496400,589.75
2016-10-03,555.00,599.50,554.00,595.95,834700,595.95
2016-09-30,540.00,555.00,535.95,551.90,523100,551.90
2016-09-29,599.90,606.00,534.75,542.40,787800,542.40
2016-09-28,593.70,598.70,590.50,593.40,271200,593.40
2016-09-27,599.45,604.85,588.10,590.35,481800,590.35
2016-09-26,608.00,616.80,592.80,594.75,509100,594.75
2016-09-23,612.00,621.00,606.05,608.70,480600,608.70
2016-09-22,598.00,613.60,594.80,610.10,529800,610.10
2016-09-21,596.05,600.65,586.50,588.45,286100,588.45
