Date,Open,High,Low,Close,Volume,Adj Close
2016-11-04,52.00,52.00,49.50,50.15,1964600,50.15
2016-11-03,51.30,53.25,50.90,51.10,1218800,51.10
2016-11-02,51.25,52.25,50.65,51.40,1958000,51.40
2016-11-01,52.00,53.20,51.35,52.20,1267700,52.20
2016-10-31,52.05,52.05,52.05,52.05,000,52.05
2016-10-28,49.55,52.30,49.55,52.05,849300,52.05
2016-10-27,51.00,51.00,49.60,49.85,443500,49.85
2016-10-26,51.10,51.90,50.10,50.70,1362700,50.70
2016-10-25,49.50,51.35,48.90,50.60,1041100,50.60
2016-10-24,50.10,50.60,49.50,49.65,362700,49.65
2016-10-21,49.40,50.45,48.75,50.30,696900,50.30
2016-10-20,48.00,49.70,48.00,49.40,525700,49.40
2016-10-19,48.70,48.85,48.25,48.50,364900,48.50
2016-10-18,47.40,48.75,47.40,48.55,396100,48.55
2016-10-17,47.75,48.50,47.05,47.30,364100,47.30
2016-10-14,48.10,48.45,47.70,47.90,346300,47.90
2016-10-13,50.50,50.50,47.55,48.30,1054500,48.30
2016-10-12,50.50,50.50,50.50,50.50,000,50.50
2016-10-11,50.50,50.50,50.50,50.50,000,50.50
2016-10-10,50.50,51.25,50.25,50.50,853400,50.50
2016-10-07,47.50,50.15,47.50,49.95,1003000,49.95
2016-10-06,48.65,49.00,47.50,47.85,387500,47.85
2016-10-05,49.25,49.70,48.25,48.60,772900,48.60
2016-10-04,48.50,49.10,48.10,48.80,645700,48.80
2016-10-03,46.95,48.40,46.55,48.00,523600,48.00
2016-09-30,45.20,46.60,45.20,46.35,485300,46.35
2016-09-29,49.00,49.05,44.25,45.20,867200,45.20
2016-09-28,47.35,48.95,47.25,48.75,431100,48.75
2016-09-27,47.90,48.25,47.20,47.35,251800,47.35
2016-09-26,48.60,49.50,47.85,47.95,430100,47.95
2016-09-23,48.95,49.35,48.50,48.80,475400,48.80
2016-09-22,48.25,49.15,48.25,48.90,520300,48.90
2016-09-21,47.70,48.40,47.50,47.80,402900,47.80
2016-09-20,47.20,48.50,46.95,47.75,505500,47.75
2016-09-19,46.50,47.50,46.50,47.15,472500,47.15
2016-09-16,47.85,48.40,46.55,46.65,682700,46.65
2016-09-15,48.05,48.40,47.55,47.75,443500,47.75
2016-09-14,48.05,48.45,47.35,48.05,695800,48.05
2016-09-13,47.90,47.90,47.90,47.90,000,47.90
2016-09-12,50.00,50.00,47.70,47.90,1104900,47.90
2016-09-09,50.50,52.20,50.25,50.65,2843600,50.65
2016-09-08,52.65,54.80,52.65,53.70,3313700,53.70
2016-09-07,48.75,52.60,48.50,51.90,2659200,51.90
2016-09-06,48.15,48.80,48.15,48.60,500300,48.60
2016-09-05,48.15,48.15,48.15,48.15,000,48.15
2016-09-02,48.00,48.30,47.55,48.15,321700,48.15
2016-09-01,48.25,48.65,47.65,48.00,439700,48.00
2016-08-31,48.95,49.40,48.00,48.25,520600,48.25
2016-08-30,48.50,49.05,48.30,48.80,489100,48.80
2016-08-29,48.00,48.50,47.50,48.25,446200,48.25
2016-08-26,48.70,49.10,47.85,48.00,506000,48.00
2016-08-25,49.90,49.90,48.50,48.65,766200,48.65
2016-08-24,49.25,50.20,49.25,49.75,687000,49.75
2016-08-23,50.00,50.75,49.00,49.90,1902300,49.90
2016-08-22,50.00,50.90,48.30,50.20,1840000,50.20
2016-08-19,48.30,50.10,48.05,49.65,2549900,49.65
2016-08-18,48.50,48.95,47.85,48.10,651100,48.10
2016-08-17,46.10,48.60,46.00,48.15,1123000,48.15
2016-08-16,46.20,46.35,45.55,46.10,258100,46.10
2016-08-15,45.80,45.80,45.80,45.80,000,45.80
2016-08-12,46.00,46.45,45.50,45.80,430400,45.80
2016-08-11,46.00,46.20,45.00,45.55,371500,45.55
2016-08-10,47.10,47.40,45.80,45.90,540400,45.90
2016-08-09,47.95,48.05,46.90,47.10,581000,47.10
2016-08-08,48.30,48.90,47.65,47.95,460600,47.95
2016-08-05,47.40,48.75,47.40,48.10,1161400,48.10
