Date,Open,High,Low,Close,Volume,Adj Close
2016-10-24,259.30,264.90,259.30,262.95,14483200,262.95
2016-10-21,259.75,259.75,256.10,258.50,8833300,258.50
2016-10-20,255.70,260.90,255.30,260.20,14179500,260.20
2016-10-19,258.00,258.00,254.85,255.40,9546400,255.40
2016-10-18,254.90,257.70,253.80,256.90,20218300,256.90
2016-10-17,253.75,256.45,252.00,253.20,16865500,253.20
2016-10-14,251.00,253.55,249.10,252.10,12133900,252.10
2016-10-13,254.95,255.35,245.85,249.65,18050600,249.65
2016-10-12,256.60,256.60,256.60,256.60,000,256.60
2016-10-11,256.60,256.60,256.60,256.60,000,256.60
2016-10-10,259.35,260.30,256.05,256.60,9399800,256.60
2016-10-07,257.25,259.90,255.25,258.70,11934100,258.70
2016-10-06,261.35,262.00,255.65,256.80,11081100,256.80
2016-10-05,262.00,264.90,259.55,260.85,20868500,260.85
2016-10-04,255.80,262.00,253.80,259.75,21532800,259.75
2016-10-03,253.00,256.65,252.65,255.30,9314600,255.30
2016-09-30,246.85,252.50,245.80,251.25,14826200,251.25
2016-09-29,255.00,256.75,243.50,247.25,27870600,247.25
2016-09-28,250.00,255.80,248.05,253.75,17277500,253.75
2016-09-27,253.15,253.90,248.30,249.00,11345300,249.00
2016-09-26,253.95,254.45,250.65,251.65,8800100,251.65
2016-09-23,258.80,258.80,253.80,254.55,12730200,254.55
2016-09-22,257.90,258.45,255.10,257.90,20797300,257.90
2016-09-21,254.50,256.25,250.65,251.15,12817100,251.15
2016-09-20,256.40,256.40,253.65,254.45,9914500,254.45
2016-09-19,256.00,258.30,255.20,255.65,11433200,255.65
2016-09-16,257.95,262.00,253.40,254.30,18013400,254.30
2016-09-15,258.35,258.35,254.20,256.00,7783600,256.00
2016-09-14,255.00,258.00,253.00,257.55,12754900,257.55
2016-09-13,252.75,252.75,252.75,252.75,000,252.75
2016-09-12,257.50,258.75,251.80,252.75,18989700,252.75
2016-09-09,268.40,268.40,263.35,264.10,11455800,264.10
2016-09-08,268.00,271.60,266.90,268.35,14339100,268.35
2016-09-07,262.90,270.30,260.40,266.80,30862300,266.80
2016-09-06,257.20,261.50,256.00,260.10,16620900,260.10
2016-09-05,254.60,254.60,254.60,254.60,000,254.60
2016-09-02,252.00,255.20,251.65,254.60,11380200,254.60
2016-09-01,251.95,254.85,251.15,252.00,12175800,252.00
2016-08-31,253.25,255.80,251.20,252.50,15601500,252.50
2016-08-30,250.15,252.90,249.80,252.25,15323200,252.25
2016-08-29,245.85,249.85,244.25,249.05,11786100,249.05
2016-08-26,250.30,250.70,245.85,246.60,16531900,246.60
