Date,Open,High,Low,Close,Volume,Adj Close
2016-11-04,680.00,680.00,649.29999,652.75,2036600,652.75
2016-11-03,718.00,718.00,702.00,705.00,318600,705.00
2016-11-02,731.04999,732.00,713.59998,714.70001,434200,714.70001
2016-11-01,748.25,750.00,732.00,733.84998,190600,733.84998
2016-10-31,743.75,743.75,743.75,743.75,000,743.75
2016-10-28,748.00,753.00,741.79999,743.75,126900,743.75
2016-10-27,744.90002,751.00,737.54999,745.20001,150200,745.20001
2016-10-26,747.09998,752.00,736.50,739.54999,130300,739.54999
2016-10-25,748.04999,758.50,746.29999,747.75,103100,747.75
2016-10-24,752.00,754.95001,745.04999,747.15002,96400,747.15002
2016-10-21,749.00,749.04999,741.00,746.75,141100,746.75
2016-10-20,754.95001,755.50,743.40002,746.70001,162800,746.70001
2016-10-19,747.00,759.00,747.00,750.40002,165500,750.40002
2016-10-18,739.29999,745.79999,735.95001,743.95001,176500,743.95001
2016-10-17,744.00,748.15002,732.00,734.04999,131900,734.04999
2016-10-14,744.95001,747.25,738.04999,745.65002,94100,745.65002
2016-10-13,755.00,755.00,735.50,740.34998,381200,740.34998
2016-10-12,754.34998,754.34998,754.34998,754.34998,000,754.34998
2016-10-11,754.34998,754.34998,754.34998,754.34998,000,754.34998
2016-10-10,751.20001,758.00,750.00,754.34998,110000,754.34998
2016-10-07,753.00,756.00,749.04999,751.20001,149500,751.20001
2016-10-06,764.50,766.50,750.04999,752.84998,158000,752.84998
2016-10-05,766.00,769.00,757.50,759.59998,249900,759.59998
2016-10-04,763.00,772.00,760.00,764.29999,1265100,764.29999
2016-10-03,746.09998,760.84998,746.09998,757.75,347800,757.75
2016-09-30,737.00,745.95001,735.29999,742.70001,243100,742.70001
2016-09-29,769.95001,770.40002,732.00,737.04999,305500,737.04999
2016-09-28,769.00,774.00,764.29999,766.45001,104900,766.45001
2016-09-27,768.15002,776.40002,766.34998,770.50,186300,770.50
2016-09-26,780.09998,784.75,765.00,766.34998,358900,766.34998
2016-09-23,790.00,792.20001,778.00,780.09998,238600,780.09998
2016-09-22,785.00,789.00,783.34998,786.50,137400,786.50
2016-09-21,779.09998,784.90002,776.40002,778.20001,178700,778.20001
2016-09-20,785.00,786.75,777.04999,778.40002,240000,778.40002
2016-09-19,785.00,789.70001,781.00,783.25,213000,783.25
2016-09-16,789.95001,794.50,781.95001,784.50,151100,784.50
2016-09-15,784.95001,792.75,782.25,786.25,160700,786.25
2016-09-14,798.00,798.00,776.00,780.34998,342800,780.34998
2016-09-13,786.95001,786.95001,786.95001,786.95001,000,786.95001
2016-09-12,792.00,796.00,779.25,786.95001,223900,786.95001
2016-09-09,810.04999,818.25,794.04999,797.15002,498400,797.15002
2016-09-08,781.00,809.75,778.25,808.20001,400700,808.20001
2016-09-07,784.95001,784.95001,776.90002,779.45001,154000,778.45003
2016-09-06,785.00,789.40002,778.95001,782.09998,156300,781.0966
2016-09-05,782.09998,782.09998,782.09998,782.09998,000,781.0966
2016-09-02,770.00,783.59998,767.54999,782.09998,191600,781.0966
2016-09-01,775.00,779.00,767.50,770.54999,137800,769.56143
2016-08-31,778.95001,781.95001,772.50,774.84998,193200,773.8559
2016-08-30,763.79999,779.90002,761.00,774.54999,252100,773.55629
2016-08-29,759.95001,762.00,747.00,759.00,234300,758.02626
2016-08-26,772.00,772.00,753.54999,756.00,195000,755.0301
2016-08-25,774.00,777.40002,762.15002,764.84998,262600,763.86873
2016-08-24,765.20001,775.25,762.00,770.65002,253500,769.66133
2016-08-23,771.00,771.50,760.00,762.50,256700,761.52177
2016-08-22,785.50,786.00,766.00,769.95001,352900,768.96222
2016-08-19,791.00,792.00,780.09998,782.70001,175700,781.69586
2016-08-18,786.00,794.70001,786.00,788.75,376300,787.73809
2016-08-17,779.50,790.70001,773.95001,784.90002,1432200,783.89305
2016-08-16,810.90002,811.50,781.29999,782.95001,678400,781.94554
2016-08-15,801.79999,801.79999,801.79999,801.79999,000,800.77133
2016-08-12,818.79999,825.70001,792.00,801.79999,956500,800.77133
2016-08-11,817.00,819.00,785.70001,808.90002,449200,807.86226
2016-08-10,832.00,833.00,815.29999,817.34998,277600,816.30137
2016-08-09,839.95001,839.95001,823.50,828.75,131900,827.68677
2016-08-08,843.70001,844.90002,830.90002,832.90002,119800,831.83147
2016-08-05,852.25,854.50,837.40002,842.34998,147000,841.2693
2016-08-04,844.79999,854.50,840.25,849.04999,370900,847.96072
2016-08-03,831.00,847.00,820.84998,838.40002,210400,837.32442
2016-08-02,838.95001,848.00,825.15002,828.75,163600,827.68677
2016-08-01,838.90002,839.70001,821.75,835.09998,163600,834.0286
2016-07-29,823.00,839.50,821.00,829.75,234200,828.68549
