Date,Open,High,Low,Close,Volume,Adj Close
2016-11-04,510.00,515.95,501.85,512.10,588100,512.10
2016-11-03,511.70,521.50,506.00,510.25,628200,510.25
2016-11-02,525.00,526.50,513.00,514.00,769800,514.00
2016-11-01,533.00,538.30,525.20,530.95,657000,530.95
2016-10-31,535.85,535.85,535.85,535.85,000,535.85
2016-10-28,526.00,539.15,525.05,535.85,459100,535.85
2016-10-27,514.00,525.65,510.65,521.85,925900,521.85
2016-10-26,550.85,550.85,523.95,529.50,738400,529.50
2016-10-25,547.70,560.85,547.70,553.10,570600,553.10
2016-10-24,545.10,563.00,543.50,559.10,545700,559.10
2016-10-21,547.50,550.10,542.00,544.55,301500,544.55
2016-10-20,554.00,554.40,546.50,547.30,425300,547.30
2016-10-19,551.80,554.50,545.10,550.25,507100,550.25
2016-10-18,550.00,555.50,549.00,553.55,321200,553.55
2016-10-17,557.50,558.10,545.20,547.05,245300,547.05
2016-10-14,546.90,557.25,546.10,555.45,528100,555.45
2016-10-13,558.65,559.40,537.05,544.30,893800,544.30
2016-10-12,562.10,562.10,562.10,562.10,000,562.10
2016-10-11,562.10,562.10,562.10,562.10,000,562.10
2016-10-10,570.20,571.05,561.00,562.10,212400,562.10
2016-10-07,554.00,567.00,552.85,565.70,836400,565.70
2016-10-06,563.00,564.20,549.00,551.25,438400,551.25
2016-10-05,555.00,561.50,549.80,558.10,544600,558.10
2016-10-04,547.00,550.90,541.00,549.35,488400,549.35
2016-10-03,542.90,546.25,539.65,540.70,371600,540.70
2016-09-30,525.20,536.60,522.10,534.75,522500,534.75
2016-09-29,545.00,546.90,517.20,526.20,538700,526.20
2016-09-28,532.10,545.35,531.75,539.85,831200,539.85
2016-09-27,536.55,542.00,530.70,531.95,514700,531.95
2016-09-26,552.00,552.00,533.80,535.55,586700,535.55
2016-09-23,560.00,560.00,551.50,553.35,480800,553.35
2016-09-22,560.00,562.00,551.85,558.30,450700,558.30
2016-09-21,548.60,556.20,544.50,549.95,418100,549.95
2016-09-20,554.50,555.65,545.55,547.60,528000,547.60
2016-09-19,553.80,555.45,549.70,553.50,1214700,553.50
2016-09-16,560.10,568.00,546.40,548.90,572500,548.90
2016-09-15,561.40,566.00,555.65,557.25,371000,557.25
2016-09-14,555.15,565.90,544.30,561.40,1262900,561.40
