Date,Open,High,Low,Close,Volume,Adj Close
2016-11-04,76.70,77.40,74.15,74.65,287400,74.65
2016-11-03,77.00,78.50,76.10,76.75,403800,76.75
2016-11-02,78.10,78.10,76.85,77.05,173900,77.05
2016-11-01,78.25,79.50,76.75,78.15,296800,78.15
2016-10-31,78.45,78.45,78.45,78.45,000,78.45
2016-10-28,79.65,81.20,78.35,78.45,355600,78.45
2016-10-27,76.05,80.00,76.05,79.55,709400,79.55
2016-10-26,81.50,82.90,80.00,80.65,212800,80.65
2016-10-25,82.00,83.25,81.00,82.35,417000,82.35
2016-10-24,84.05,84.45,83.35,83.60,270900,83.60
2016-10-21,82.20,83.80,81.50,83.55,879000,83.55
2016-10-20,80.80,83.35,80.80,81.85,454000,81.85
2016-10-19,77.60,81.55,77.60,81.15,460900,81.15
2016-10-18,77.90,78.80,77.90,78.40,210100,78.40
2016-10-17,79.00,79.00,77.40,77.55,169900,77.55
2016-10-14,78.50,78.85,77.70,78.45,123300,78.45
2016-10-13,80.90,80.90,77.55,77.95,227000,77.95
2016-10-12,80.90,80.90,80.90,80.90,000,80.90
2016-10-11,80.90,80.90,80.90,80.90,000,80.90
2016-10-10,81.05,82.00,80.60,80.90,315000,80.90
2016-10-07,79.55,81.00,78.25,80.50,477800,80.50
2016-10-06,78.20,80.65,77.95,78.80,713600,78.80
2016-10-05,77.60,78.75,77.60,78.20,462200,78.20
2016-10-04,76.50,78.20,76.50,77.20,1033900,77.20
2016-10-03,75.45,76.75,75.45,76.40,404800,76.40
2016-09-30,73.00,75.65,72.80,75.30,492900,75.30
2016-09-29,76.20,76.20,71.80,73.45,1901800,73.45
2016-09-28,74.75,76.05,74.75,75.85,245100,75.85
2016-09-27,75.90,75.90,74.20,75.05,2806500,75.05
2016-09-26,75.65,76.60,75.50,75.80,181600,75.80
2016-09-23,76.00,76.05,75.35,75.60,214200,75.60
2016-09-22,76.50,76.60,75.75,76.00,223300,76.00
2016-09-21,75.70,76.70,75.65,76.25,423400,76.25
2016-09-20,76.90,77.35,75.30,75.70,341700,75.70
2016-09-19,75.00,76.90,74.15,76.60,436600,76.60
2016-09-16,74.80,75.90,74.60,75.20,423800,75.20
2016-09-15,76.20,76.95,74.50,74.75,482700,74.75
2016-09-14,73.80,76.05,73.80,75.25,381300,75.25
2016-09-13,74.40,74.40,74.40,74.40,000,74.40
2016-09-12,76.10,76.20,73.60,74.40,784900,74.40
2016-09-09,77.50,78.45,76.85,77.10,1382300,77.10
2016-09-08,76.55,77.85,76.55,77.50,305000,77.50
2016-09-07,78.10,78.10,76.25,76.55,656900,76.55
2016-09-06,78.90,79.50,78.10,78.40,709400,77.10
2016-09-05,78.65,78.65,78.65,78.65,000,77.34585
2016-09-02,78.50,79.20,77.40,78.65,478000,77.34585
2016-09-01,79.90,80.35,77.45,77.95,1003900,76.65746
2016-08-31,77.40,78.90,76.50,78.25,812500,76.95249
2016-08-30,76.00,77.40,76.00,76.85,550800,75.5757
2016-08-29,75.30,76.20,75.15,75.90,252100,74.64145
2016-08-26,75.85,76.25,75.00,75.70,368500,74.44477
2016-08-25,76.45,77.00,75.25,75.70,352400,74.44477
2016-08-24,74.25,76.70,74.00,76.45,798100,75.18233
2016-08-23,77.15,78.30,73.80,74.75,1974000,73.51052
2016-08-22,78.40,79.20,76.90,77.25,652100,75.96907
2016-08-19,77.60,78.45,76.70,77.95,431300,76.65746
2016-08-18,78.25,78.45,76.40,76.90,566500,75.62487
2016-08-17,76.90,78.30,75.90,77.60,939600,76.31326
2016-08-16,75.00,77.00,75.00,76.50,827800,75.2315
2016-08-15,74.95,74.95,74.95,74.95,000,73.7072
