Date,Open,High,Low,Close,Volume,Adj Close
2016-11-04,447.95001,454.50,444.25,452.45001,227200,452.45001
2016-11-03,457.95001,457.95001,446.14999,448.35001,85400,448.35001
2016-11-02,460.00,460.70001,452.79999,457.95001,52800,457.95001
2016-11-01,464.00,466.50,460.10001,460.89999,45900,460.89999
2016-10-31,461.70001,461.70001,461.70001,461.70001,000,461.70001
2016-10-28,463.39999,466.00,454.10001,461.70001,122400,461.70001
2016-10-27,472.00,472.00,461.25,462.64999,102900,462.64999
2016-10-26,480.00,480.00,471.50,472.39999,100000,472.39999
2016-10-25,483.95001,483.95001,479.64999,481.25,61600,481.25
2016-10-24,491.00,494.79999,478.10001,483.75,676600,483.75
2016-10-21,500.70001,504.29999,493.89999,499.20001,204100,499.20001
2016-10-20,495.20001,500.70001,492.29999,495.50,117200,495.50
2016-10-19,482.10001,496.70001,482.10001,494.54999,181900,494.54999
2016-10-18,473.54999,486.50,473.10001,481.35001,57800,481.35001
2016-10-17,474.70001,475.79999,470.10001,471.50,54100,471.50
2016-10-14,477.20001,483.00,473.29999,474.50,35400,474.50
2016-10-13,477.00,478.00,474.10001,477.10001,78000,477.10001
2016-10-12,476.95001,476.95001,476.95001,476.95001,000,476.95001
2016-10-11,476.95001,476.95001,476.95001,476.95001,000,476.95001
2016-10-10,476.60001,479.75,476.10001,476.95001,36000,476.95001
2016-10-07,478.10001,479.50,475.10001,476.60001,29300,476.60001
2016-10-06,479.50,480.50,476.50,477.70001,192800,477.70001
2016-10-05,484.00,484.00,476.50,478.95001,96700,478.95001
2016-10-04,480.50,484.89999,479.25,481.50,77000,481.50
2016-10-03,479.00,479.75,474.25,478.54999,38300,478.54999
2016-09-30,479.00,479.85001,473.25,477.64999,59900,477.64999
2016-09-29,483.39999,484.39999,470.00,472.45001,196500,472.45001
2016-09-28,484.04999,484.60001,480.20001,483.39999,40200,483.39999
2016-09-27,480.50,485.04999,479.00,484.39999,113100,484.39999
2016-09-26,481.50,482.00,476.29999,478.79999,74000,478.79999
2016-09-23,482.50,484.04999,479.04999,480.20001,1189700,480.20001
2016-09-22,484.10001,485.14999,480.00,481.50,52100,481.50
2016-09-21,484.50,484.50,480.10001,483.25,77100,483.25
2016-09-20,480.39999,481.50,478.10001,480.20001,92700,480.20001
2016-09-19,481.00,482.00,476.39999,480.39999,113200,480.39999
2016-09-16,479.20001,482.29999,477.60001,479.79999,366100,479.79999
2016-09-15,482.50,482.50,474.25,478.35001,328000,478.35001
2016-09-14,483.00,484.60001,476.00,478.14999,105200,478.14999
2016-09-13,481.29999,481.29999,481.29999,481.29999,000,481.29999
2016-09-12,477.00,483.50,473.04999,481.29999,406800,481.29999
2016-09-09,476.00,482.85001,474.29999,480.64999,251400,480.64999
2016-09-08,478.00,480.00,470.25,473.60001,765700,473.60001
2016-09-07,486.79999,489.00,481.50,482.14999,131600,482.14999
2016-09-06,485.10001,485.60001,480.25,482.79999,117700,482.79999
2016-09-05,483.35001,483.35001,483.35001,483.35001,000,483.35001
2016-09-02,483.95001,485.25,479.75,483.35001,68300,483.35001
2016-09-01,492.50,492.50,481.54999,483.70001,127600,483.70001
